Company,Job_title,Location,Salary,Skill,Job_Desc,Links
Panorama Destination,Travel Design,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",,"Bahasa Thailand, Travel & Tourism, Fluent In Vietnamese","Fluent in foreign languages such as Thai/ Tiếng Việt, is a MUST., Bachelor’s Degree (Tourism/ Language Literature/ Any related field), Have experiences or fresh graduates are welcome, Extrovert personality, Excellent interpersonal, communication and relationship skills, Energetic, goal-oriented and outcome-driven, Knowledgeable in different cultures and enjoy learning new cultures or at least reading books, articles or other resources that provide information regarding cultures, Willing to travel overseas for business trip (frequently)",https://glints.com/id/opportunities/jobs/travel-design/692254ed-228b-42ce-a45a-154b5fd07a0f?utm_referrer=explore
PT Hokinda Citralestari,Staff HRD,"Medan Sunggal, Medan, Sumatera Utara, Indonesia",,,"Memastikan kompetensi SDM tercapai, Memfasilitasi penyelenggaraan kegiatan pelatihan, Memastikan pelaksanaan service partner sesuai dengan ketentuan",https://glints.com/id/opportunities/jobs/staff-hrd/779c3126-b07e-40db-b323-b78532b60860?utm_referrer=explore
Luna Beach Club,Director of Sales and Marketing,"Tabanan, Kab. Tabanan, Bali, Indonesia","USD2,5rb-USD3,5rb",,"Works with sales leaders to ensure understanding of sales strategy and effective implementation of this strategy for the segment., Works with the management team to create and implement a sales plan addressing revenue, customers and the market for the segment led by the DOS., Assists with the development and implementation of promotions, both internal and external.",https://glints.com/id/opportunities/jobs/director-of-sales-and-marketing/506da2ec-b5b2-4e6b-aade-12347d87bef1?utm_referrer=explore
PT Mimi Global Asia,Beauty Advisor,"Cipondoh, Tangerang, Banten, Indonesia",,"Persuasive Selling, Berkomunikasi Dengan Baik, Percaya Diri, Marketing And Selling",,https://glints.com/id/opportunities/jobs/beauty-advisor/618d9966-1a40-42cf-8f29-eccd136ac79a?utm_referrer=explore
PT Setuju Cipta Kreasi,Freelance Content Writer,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",,"Creative, Good Team Player, Time Management","Learning enthusiast, Loyal & Polite, Able to work under pressure (tight time and a lot of task), A Good Team player, Have an eye for aesthethics & details, Creative, Adaptive & Proactive, Excellent time management (able to submit tasks before deadline)",https://glints.com/id/opportunities/jobs/freelance-content-writer/62fefa09-3484-47a0-85fa-fb8e3b380d15?utm_referrer=explore
PT Setuju Cipta Kreasi,Content Writer,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",,,"Learning enthusiast, Loyal & Polite, Able to work under pressure (tight time and a lot of task), A Good Team player, Have an eye for aesthethics & details, Creative, Adaptive & Proactive, Excellent time management (able to submit tasks before deadline)",https://glints.com/id/opportunities/jobs/content-writer/8695a285-2f89-492f-a8a3-b386e4156945?utm_referrer=explore
CV. Patra,Posisi Bidang Kreatif Lainnya,"Pedurungan, Semarang, Jawa Tengah, Indonesia","Rp2,5jt-Rp3jt",,,https://glints.com/id/opportunities/jobs/posisi-bidang-kreatif-lainnya/e4c08826-a185-4370-a000-aab367d1a258?utm_referrer=explore
PT Trijaya Maju Totalindo Jabodetabek 1,Sales Firstmedia - Karawaci,"Karawaci, Tangerang, Banten, Indonesia","Rp4,9jt-Rp5jt","Sales and Marketing, Sales, Sales Marketing","Gapok 4.901.788, Insentif dan Bonus, THR, BPJS, Fee Training",https://glints.com/id/opportunities/jobs/sales-firstmedia-karawaci/c69f4b2a-5041-4be9-8e4d-9aa0f82aebd7?utm_referrer=explore
PT Trijaya Maju Totalindo Jabodetabek 1,Sales Firstmedia - Fatmawati,"Cilandak, Jakarta Selatan, DKI Jakarta, Indonesia","Rp4,9jt-Rp5jt","Sales and Marketing, Sales, Sales Marketing","Gapok 4.901.788, Insentif dan Bonus, THR, BPJS, Fee Training",https://glints.com/id/opportunities/jobs/sales-firstmedia-fatmawati/f2e4cf84-f82b-4c77-8e4c-65e47c61fce2?utm_referrer=explore
PT Trijaya Maju Totalindo Jabodetabek 1,Sales Firstmedia - Cideng,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia","Rp4,9jt-Rp5jt","Sales and Marketing, Sales, Sales Marketing","Gapok 4.901.788, Insentif dan Bonus, THR, BPJS, Fee Training",https://glints.com/id/opportunities/jobs/sales-firstmedia-cideng/ad446a90-1e4d-4973-b903-8c4825aa2954?utm_referrer=explore
PT Trijaya Maju Totalindo Jabodetabek 1,Sales First Media - Bekasi,"Bekasi Barat, Bekasi, Jawa Barat, Indonesia","Rp4,9jt-Rp5jt","Sales and Marketing, Sales, Sales Marketing","Gapok 4.901.788, Insentif dan Bonus, THR, BPJS, Fee Training",https://glints.com/id/opportunities/jobs/sales-first-media-bekasi/4813ec2b-df26-4240-99ef-609d41546144?utm_referrer=explore
Layz Production,[CLOSED] Software Engineer 3,"Samatiga, Kab. Aceh Barat, Nanggroe Aceh Darussalam, Indonesia",Rp5jt-Rp7jt,,"Membangun perangkat lunak yang kuat dan skalabel dengan membangun fitur baru, debugging, dan mengoptimalkan aplikasi, Menulis kode bersih untuk mengembangkan aplikasi web fungsional, Berkolaborasi dengan pengembang front-end untuk mengintegrasikan elemen yang terlihat oleh pengguna dengan logika sisi server, Mengembangkan dan mengusulkan produk atau fitur baru dengan memantau industri, Bekerja sama dengan desainer, manajer produk, dan administrator sistem untuk mengidentifikasi dan membangun fitur baru",https://glints.com/id/opportunities/jobs/closed-software-engineer-3/15188ac7-5ac3-46e8-8c9b-a903d5a94c47?utm_referrer=explore
Layz Production,[CLOSED] Software Engineer 2,"Samatiga, Kab. Aceh Barat, Nanggroe Aceh Darussalam, Indonesia",Rp5jt-Rp7jt,,"Membangun perangkat lunak yang kuat dan skalabel dengan membangun fitur baru, debugging, dan mengoptimalkan aplikasi, Menulis kode bersih untuk mengembangkan aplikasi web fungsional, Berkolaborasi dengan pengembang front-end untuk mengintegrasikan elemen yang terlihat oleh pengguna dengan logika sisi server, Mengembangkan dan mengusulkan produk atau fitur baru dengan memantau industri, Bekerja sama dengan desainer, manajer produk, dan administrator sistem untuk mengidentifikasi dan membangun fitur baru",https://glints.com/id/opportunities/jobs/closed-software-engineer-2/3a34fba8-77a1-4537-b483-1e15e514fe38?utm_referrer=explore
Layz Production,[CLOSED] Software Engineer 1,"Samatiga, Kab. Aceh Barat, Nanggroe Aceh Darussalam, Indonesia",Rp5jt-Rp7jt,"JavaScript, Java, Java Programming","Membangun perangkat lunak yang kuat dan skalabel dengan membangun fitur baru, debugging, dan mengoptimalkan aplikasi, Menulis kode bersih untuk mengembangkan aplikasi web fungsional, Berkolaborasi dengan pengembang front-end untuk mengintegrasikan elemen yang terlihat oleh pengguna dengan logika sisi server, Mengembangkan dan mengusulkan produk atau fitur baru dengan memantau industri, Bekerja sama dengan desainer, manajer produk, dan administrator sistem untuk mengidentifikasi dan membangun fitur baru",https://glints.com/id/opportunities/jobs/closed-software-engineer-1/f49c2596-941f-499c-be56-4e77d2fa6240?utm_referrer=explore
