Company,Job_title,Location,Salary,Skill,Job_Desc,Links
Wadja Group,Sales Executive Cabang Bali,"Klungkung, Klungkung, Bali, Indonesia",Rp2jt,"Memiliki Kemampuan Komunikasi Yang Baik, memiliki kendaraan bermotor, Menjalin relasi yang baik kepada customer dan melakukan handling","Mengatur dan melakukan kunjungan penjualan, Membuat proposal terperinci dan materi untuk presentasi kepada klien, Menawarkan kepada klien tentang layanan dan penawaran perusahaan, Menjaga hubungan dengan klien dengan memberikan dukungan dan informasi, Menyarankan peluang baru dan solusi, Bekerja sama dengan tim Pemasaran untuk menyusun paket layanan, Memberikan tanggapan yang cepat terhadap pertanyaan atau penyelesaian keluhan klien, Membantu mencapai target penjualan, Mengelola catatan aktivitas penjualan dan menyusun laporan penjualan",https://glints.com/id/opportunities/jobs/sales-executive-cabang-bali/8a73439e-942e-4bc9-8c36-d637da2fddd2?utm_referrer=explore
Company,Job_title,Location,Salary,Skill,Job_Desc,Links
Sumberdaya Andalan Mandiri,Sales Generalis Bank BUMN,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia","Rp4,5jt-Rp5jt","Marketing, Sales and Marketing, Direct Sales, Sales, B2b Sales, Sales Marketing","Pria/Wanita, Usia Maksimal 33 tahun, Pendidikan minimal D3, Berpengalaman di Bidang Sales/Marketing, Mempunyai kendaraan bermotor dan SIM, Berperilaku dan penampilan baik serta berdomisili di Jabodetabek",https://glints.com/id/opportunities/jobs/sales-generalis-bank-bumn/80225828-9d7b-4bf4-880c-ecdab3000b64?utm_referrer=explore
PT. Eversaas Power Technology,Presales System Engineer,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Rp6jt-Rp10jt,"PreSales/Technical Support, English Speaking, ERP Software, Software Presales, English Language, Presales, Presales Engineer, Presales support, Driving License, Fluent In English Both Oral And Written, Good Communication Skills, Cloud Computing","Pria Usia min. 25 tahun, Pendidikan min. D3 / S1 Jurusan Telekomunikasi atau Komputer, Pengalaman minimal 2 tahun sebagai sales IT, Komputer, Internet, telekomunikasi dan sejenisnya, (Diutamakan yang pernah bekerja di bidang ISP / ERP/ SOFTWARE/ security), Jujur, pekerja keras dan dapat bekerja sama dengan Team, Fasih dalam menggunakan Ms Office dan bidang IT, Memiliki kendaraan bermotor, Lokasi Penempatan di Jakarta Barat",https://glints.com/id/opportunities/jobs/presales-system-engineer/782b0292-4a8b-4eab-81a3-435c13cd85b4?utm_referrer=explore
PT Cyber Futures Jakarta,Manager,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia",Rp6jt-Rp10jt,"Interpersonal Skills, Self Confidence & Control, Leadership, Good Communication Skills","Melakukan perencanaan, pengembangan, implementasi, dan pelaksanaan rencana pemasaran strategis, Memimpin tim Telemarketing dan Business Consultant, Mengidentifikasi masalah yang dihadapi Nasabah dan mencari peluang, Ikut Andil Membantu merekrut team Telemarketing dan Business Consultant, Menjaga hubungan baik dengan nasabah",https://glints.com/id/opportunities/jobs/manager/13ea51d8-aef4-42bd-ac0a-674efeb211ea?utm_referrer=explore
Jala Tech,Finance Intern,"Kapanewon Depok, Sleman, DI Yogyakarta, Indonesia","Rp1,2jt-Rp1,3jt","Microsoft Excel, Finance, Attention To Detail, Good Communication Skills","Checking payment submission and settlement, Transaction recording input, Assist in AR reminders & create receivable notification letters, Assist with document archiving",https://glints.com/id/opportunities/jobs/finance-intern/f497fecd-3837-4c4d-9b9b-4bed7676cd70?utm_referrer=explore
PT Simantep Digital Grup,Advertiser,"Cimanggis, Depok, Jawa Barat, Indonesia",Rp2jt-Rp4jt,"Social Media Advertising, Advertising & Promotion, Customer Experience, Advertising","Melakukan pengiklanan pada FB Ads, Instagram Ads, Tiktok Ads, Google Ads dan digital Ads lainnya",https://glints.com/id/opportunities/jobs/advertiser/4c7b7120-fe4b-46fa-8013-3c43bd4ce1bc?utm_referrer=explore
PT. Koding Next Indonesia,Teacher Assistant Intern (Paid),"Bogor Barat, Bogor, Jawa Barat, Indonesia","Rp1,5jt-Rp2jt","English, Tech Savvy, Teaching","Last year student (with no classes to attend) or Fresh Graduate in Education/Math/Physics/Computer Science/Informatics Engineering/IT related field, Fluent in English (speaking, writing, reading, listening), Have experience in teaching especially kids, Up-to-date with technology development, Team player, fast learner, Trustworthy person with good ethical judgment, Readiness to work in Curugmekar, Bogor",https://glints.com/id/opportunities/jobs/teacher-assistant-intern-paid/c74cb832-4c15-4b98-9ee9-9b71786dcb36?utm_referrer=explore
PT. Shankara Citra Jaya,Paid Internship Content Creator,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Rp500rb-Rp1jt,"Content Writing, Content Creation, Content Strategy","Mendiskusikan dan mengembangkan konsep, ide, perencanaan dan eksekusi konten yang menarik, Menjadi talent dalam pembuatan konten Social Media, Berkoordinasi dengan tim dalam pembuatan konten, Memahami skrip dari copywriter, Berkolaborasi dengan desainer, content strategist, dan profesional lainnya pada project Marketing, Melakukan riset untuk tujuan konten, Mengedit dan mengecek ulang konten jika diperlukan",https://glints.com/id/opportunities/jobs/paid-internship-content-creator/63831daf-bb70-40e0-86c1-02db5a013470?utm_referrer=explore
Pt.  Asuransi Raksa Pratikara,Management Associate Program,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia","Rp5,9jt-Rp6,8jt","Negosiasi Dan Presentasi, Berkomunikasi Dengan Baik, Berpikir kritis","Bachelor Degree minimal GPA 3.00, Fresh graduate from any major, Maximum 23 years old, Have a good communication & interpersonal skills, Fluent in English & Computer Literate (Microsoft Office), Willing to be placed anywhere in Indonesia",https://glints.com/id/opportunities/jobs/management-associate-program/cf12efce-4c40-40d3-b470-3c0f9b085f7f?utm_referrer=explore
