id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link,Link_img
gl85,Perawat IGD,Rumah Sakit BSH,Nursing,"Bogor Selatan, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp5jt-Rp6jt,1 – 3 tahun,"Teamwork, Nursing, Communication Skills",Sarjana (S1),"Diutamakan Perempuan, Usia maks. 30 tahun, Pendidikan Profesi Ners, Memiliki Surat Tanda Registrasi (STR) aktif, Diutamakan memiliki sertifikat PPGD, Memiliki sertifikat BTCLS, Berpengalaman di Rumah Sakit min. 1 tahun, Memiliki kemampuan komunikasi yang baik, Jujur, ramah dan mampu bekerjasama dengan tim, Telah vaksin covid-19 hingga dosis booster",https://glints.com/id/opportunities/jobs/perawat-igd/f35c0ccd-848d-49c9-b244-0b4b1e1f9d02?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/c256ee84dbb7e3abe9e72bc3ba4635f3.jpg
gl86,SALES EXECUTIVE JAKARTA,PT Trijata Nusa (TRITANU),Microsoft Office,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp4,5jt-Rp5jt",1 – 3 tahun,"Sales and Marketing, Negotiation Skill, Communication Skills, Microsoft Office",Sarjana (S1),"Usia maksimal 40 tahun, Pendidikan minimal D3/S1 semua jurusan, Menguasai Microsoft Office (Word, Excel, Power Point), Pengalaman minimal 1 tahun sebagai Sales Executive, Mampu berkomunikasi dalam Bahasa Inggris menjadi nila tambah, Memiliki kemampuan untuk berpikir analitis dan sikap yang berorientasi pada pencapaian, Memiliki SIM C atau SIM A",https://glints.com/id/opportunities/jobs/sales-executive-jakarta/d47803da-c0d4-4a71-aed3-9f50fe2b776d?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/660634d0c5584213c4c4830abe513ea7.png
gl87,Science Teacher,Batari School,Science,"Medan Baru, Medan, Sumatera Utara, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Science, Bachelors Degree > Bachelor of Science, Familiar With Zoom, Fluent In English Both Oral And Written",Sarjana (S1),,https://glints.com/id/opportunities/jobs/science-teacher/cdc03155-e784-4f36-bfb5-7b84023601de?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/e51cbf92002bfd0ec38682e87f3c415d.jpg
gl88,Guru Matematika,"MTs Unggulan PP Amanatul Ummah Pacet, Mojokerto",Geography,"Pacet, Mojokerto, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Guru, Geography, Teacher",Sarjana (S1),"Islam dan Berpaham Aswaja, Rajin Ulet Loyal Berdedikasi, Laki Laki diutamakan, Mampu Berkomunikasi Dengan Baik, Mampu Bekerja dengan Tim, Memahami Kurikulum 2013, Pendidikan Minimal S1 Sesuai Jurusan",https://glints.com/id/opportunities/jobs/guru-matematika/4dc74925-3ed6-4858-b9a0-a0274948904c?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/png
gl89,Guru Kimia,"MTs Unggulan PP Amanatul Ummah Pacet, Mojokerto",Pendidikan Kimia,"Pacet, Mojokerto, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Guru, Pendidikan Kimia, Teacher",Sarjana (S1),"Islam dan Berpaham Aswaja, Rajin Ulet Loyal Berdedikasi, Laki Laki diutamakan, Mampu Berkomunikasi Dengan Baik, Mampu Bekerja dengan Tim, Memahami Kurikulum 2013, Pendidikan Minimal S1 Sesuai Jurusan",https://glints.com/id/opportunities/jobs/guru-kimia/6155f1cc-41b1-416a-8c89-5c0e02f653f4?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/png
gl90,Guru Kimia,"MTs Unggulan PP Amanatul Ummah Pacet, Mojokerto",Pendidikan Kimia,"Pacet, Mojokerto, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Guru, Pendidikan Kimia, Teacher",Sarjana (S1),"Islam dan Berpaham Aswaja, Rajin Ulet Loyal Berdedikasi, Laki Laki diutamakan, Mampu Berkomunikasi Dengan Baik, Mampu Bekerja dengan Tim, Memahami Kurikulum 2013, Pendidikan Minimal S1 Sesuai Jurusan",https://glints.com/id/opportunities/jobs/guru-kimia/6155f1cc-41b1-416a-8c89-5c0e02f653f4?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/png
gl91,Guru Geografi,"MTs Unggulan PP Amanatul Ummah Pacet, Mojokerto",Geography,"Pacet, Mojokerto, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Guru, Geography, Teacher",Sarjana (S1),"Islam dan Berpaham Aswaja, Rajin Ulet Loyal Berdedikasi, Laki Laki diutamakan, Mampu Berkomunikasi Dengan Baik, Mampu Bekerja dengan Tim, Memahami Kurikulum 2013, Pendidikan Minimal S1 Sesuai Jurusan",https://glints.com/id/opportunities/jobs/guru-geografi/814e9d54-ba6d-4780-99bb-020e93261d00?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/png
gl92,Teknisi Listrik LED,PT. TAKO ANUGERAH KOPORASI,Electricity,"Pabean Cantikan, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Electricity, Lighting, Problem Solving Skills",SMA/SMK,,https://glints.com/id/opportunities/jobs/teknisi-listrik-led/6848d76d-9487-463d-b4fb-32558a137645?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/e21d2673933029d8de997617ba052fe0.png
gl93,Guru Biologi,"MTs Unggulan PP Amanatul Ummah Pacet, Mojokerto",Biology,"Pacet, Mojokerto, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Biology, Guru, Teacher",Sarjana (S1),"Islam dan Berpaham Aswaja, Rajin Ulet Loyal Berdedikasi, Laki Laki diutamakan, Mampu Berkomunikasi Dengan Baik, Mampu Bekerja dengan Tim, Memahami Kurikulum 2013, Pendidikan Minimal S1 Sesuai Jurusan",https://glints.com/id/opportunities/jobs/guru-biologi/d5123160-829f-4eed-895a-c705483684ed?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/png
gl94,Guru Bahasa Indonesia,"MTs Unggulan PP Amanatul Ummah Pacet, Mojokerto",Bahasa Indonesia,"Pacet, Mojokerto, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Guru, Teacher, Bahasa Indonesia",Sarjana (S1),"Islam dan Berpaham Aswaja, Rajin Ulet Loyal Berdedikasi, Laki Laki diutamakan, Mampu Berkomunikasi Dengan Baik, Mampu Bekerja dengan Tim, Memahami Kurikulum 2013, Pendidikan Minimal S1 Sesuai Jurusan",https://glints.com/id/opportunities/jobs/guru-bahasa-indonesia/116522bc-d6e3-466c-9e1c-35152f6dcb6f?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/png
