id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link,Link_img
gl235,Social Media Manager,KOPF Creatives,Instagram,"Waru, Sidoarjo, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Instagram, Instagram Marketing, TikTok, Creative Thinking, Google Spreadsheet, Critical Thinking Skills, Analytical Skills, Project Management, Content Creation, Facebook, Meta Business Suite, Copywriting, Good Communication Skills, KOL Management, Meta Ads",SMA/SMK,,https://glints.com/id/opportunities/jobs/social-media-manager/70ee704f-e679-4e78-9c0d-4670b7d850a8?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/1e9e3b8e32c453b79fe35b7ed3fc485d.jpg
gl236,Mechanical Drafter,Bernofarm Pharmaceutical,Production Machine,"Buduran, Sidoarjo, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"AutoCAD, penggunaan alat ukur, Drafter, Drafter Engineer, Production Machine, Drafter Teknik",Diploma (D1 - D4),"Pendidikan Min. D3 dan wajib memiliki pengalaman sebagai Drafter, Usia Max : 30 Tahun, Menguasai bahasa Inggris dan penggunaan komputer, Menguasai Program AutoCAD 2D dan 3D, Mempunyai pengalaman pengukuran spare part mesin Produksi, menggambar mesin dan spare part mesin Produksi beserta toleransinya, Mampu menggunakan alat ukur dengan baik, Bersedia ditempatkan di Sidoarjo - Jawa Timur",https://glints.com/id/opportunities/jobs/mechanical-drafter/9f049c85-2882-490e-89f5-b3cdb80822c5?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/23ef4e66b9c641f983fdf7e273665874.jpeg
gl237,Business Executive (Sales Wilayah Balikpapan),PT Datascrip,B2G Sales,"Balikpapan Utara, Balikpapan, Kalimantan Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"B2C Sales, B2G Sales, B2b Sales",Diploma (D1 - D4),"Succeed Above Success., CARE - Customer Interest, Attentive, Responsive and Enthusiasm., SMILE - Share, Motivate, Improve, Lead, Efficient., CoCoCoCo - Communication, Cooperation, Coordination, Commitment",https://glints.com/id/opportunities/jobs/business-executive-sales-wilayah-balikpapan/f500c9af-543b-4d71-b462-2b498298eb36?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/adee805ba5970216164c563a00daed49.png
gl238,Admin Project,PT. Centrin Online Prima,RAB/BOQ,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"preparation of RFP and project QA compliance reports, RAB/BOQ, preparation of cost BoQ and tender topsheet, BoQ preparation",Sarjana (S1),"Memonitor perjanjian kerjasama project., Melakukan proses data entry dan dokumentasi progress proyek serta pengarsipan data., Mengontrol inventory dan check biaya operasional serta reimbursement., Membuat laporan harian/mingguan/bulanan dan merapikan dokumen., Koordinasi administrasi di lapangan/area dengan pihak lain/vendor, Membuat penawaran, Merespon proposal RFP (Request For Proposal)",https://glints.com/id/opportunities/jobs/admin-project/0b839833-84dc-4b4b-8468-49ea5c5a2aea?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/126581eb4dd195d457f67aa794b9a421.jpg
gl239,Data Center Operation,PT Sigma Global Teknologi,Hardware,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Kontrak,Tidak ditampilkan,"Rp5jt-Rp5,5jt",Kurang dari setahun,"Data Entry, Structured Cabling, Hardware, Linux Server",SMA/SMK,,https://glints.com/id/opportunities/jobs/data-center-operation/7cd46cfe-d5bc-4946-98c4-f64222b99119?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/3aba5816b8ecfbb79a395592af581035.png
gl240,Beautician,Happymee Beauty Care,Nails,"Mulyorejo, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp2,5jt-Rp4,5jt",1 – 3 tahun,"Nail Art, Nailist, Nails",SMA/SMK,,https://glints.com/id/opportunities/jobs/beautician/4a9346b2-3c81-4764-82ab-f261a52c20c2?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/3ff4ff711502addaca86396ad0d9d43c.png
gl241,Marketing & Operation Admin,PT Pixel Art Indonesia,Admin,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Marketing, Admin, Document Filling",Diploma (D1 - D4),,https://glints.com/id/opportunities/jobs/marketing-and-operation-admin/65171fdb-7bc0-4352-8a45-c14734e040dd?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/7a0bb44ee39540ca018442c521f07b5d.png
gl242,Videografer & Editor,Wearinasia (wia.id),Video Production,"Kelapa Dua, Tangerang, Banten, Indonesia",Magang,Tidak ditampilkan,Rp999rb-Rp1jt,Kurang dari setahun,"Fotografi & Videografi, Video Editor, Videography, Video Production, Capcut-VN Video Editor",SMA/SMK,"We are looking for a Creative Multimedia Intern to join our team! The idealcandidate should be able to take and edit videos for various social media platforms such as Instagram, TikTok, and YouTube. The intern will work closely with ourmarketing team to create engaging video content that drives engagement and growth on our social media channels.",https://glints.com/id/opportunities/jobs/videografer-and-editor/06ec6b92-b918-47a0-b978-d93c56be3940?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/2c6d88d7435ba87b9e3e93cab6862219.png
gl243,Sales Promotion Girl,PT. Uluwatu Handmade Balinese Lace,Sales,"Denpasar Barat, Denpasar, Bali, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp3,2jt-Rp4jt",Kurang dari setahun,"Pemasaran & Promosi, Berkomunikasi Dengan Baik, Sales",SMA/SMK,"Wanita usia 20-27 tahun, Pendidikan minimal SMA/SMK, Percaya diri dan bisa berkomunikasi yang baik, Berpenampilan menarik",https://glints.com/id/opportunities/jobs/sales-promotion-girl/02aea31c-987e-4cde-8f6f-7e1e62371893?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/0cb0cd339fe80358bf58d5b6fba639b4.jpeg
gl244,Admin Sales Support,PT Fajar Lestari Sejati,Sales Administration,"Banjarmasin Selatan, Banjarmasin, Kalimantan Selatan, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp2,9jt-Rp3,2jt",1 – 3 tahun,"Admin Sales Support, Sales Support, Sales Administration, Office Administration, Administration",Diploma (D1 - D4),"Melakukan tugas administrasi terkait rekrutmen., Mengurus administrasi terkait penerimaan karyawan baru., Mengelola dan memelihara catatan karyawan, termasuk data pribadi, riwayat pekerjaan, dan informasi lainnya yang relevan., Memproses administrasi terkait cuti, izin, dan kesehatan karyawan., Mendukung dalam pelaksanaan program pelatihan dan pengembangan karyawan., Mengelola dan memantau program kesejahteraan karyawan.",https://glints.com/id/opportunities/jobs/admin-sales-support/0a80fe6e-13cd-4f2e-991f-5c3a78b65885?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/e1d9b1ccdc1935cadc387ad63d6a79b3.png
