Job Title,Company,Location,Work Type,Study Requirement,Experience,Skill,Salary,Job Description,Job Requirements,Link
Açaí Bowl Maker and Customer Service,Oakberry Indonesia,"Kuta, Badung, Bali, Indonesia",Penuh Waktu,Minimal SMP,1 – 3 tahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,N/A,https://glints.com/id/opportunities/jobs/acai-bowl-maker-and-customer-service/61155f10-a046-4362-8764-835dc64c5171?utm_referrer=explore
Sales Marketing,PT. Estetika Ruang Indah,"Sungai Pinang, Samarinda, Kalimantan Timur, Indonesia",Penuh Waktu,Minimal SMA/SMK,1 – 3 tahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,N/A,https://glints.com/id/opportunities/jobs/sales-marketing/e31e63c7-de72-435a-8514-99296d16f1a0?utm_referrer=explore
Performance Marketing Specialist,PT. PAKAR ANUGERAH GEMILANG,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Sarjana (S1),5 – 10 tahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,"Menjadi bagian dari Tim 6 orang dan 3 Mentor Senior.Belajar dari awal mengenai Digital Marketing, terutama di bidang Paid Marketing (Facebook Ads, Instagram Ads, Google Ads, Website, SEO).Membuat dan Mengedit Landing Page / Website untuk Keperluan Marketing Client.Membuat, Mengoptimisasi dan Memonitor Iklan di Facebook dan Instagram.Membuat, Mengoptimisasi dan Memonitor Iklan di Google (Search Ads, Display Ads, Video Ads, Shopping Ads).Melakukan A/B Test untuk Setiap Copywriting / Design Iklan.Melakukan Analisa Performance Iklan melalui Google Analytics.Membuat Copywriting Iklan yang Menjual.Melakukan Setup E-mail Marketing.Last but not least, bring happiness to our team 🙂",https://glints.com/id/opportunities/jobs/performance-marketing-specialist/93124a30-b6e9-4e39-999a-fd3f589d6fa5?utm_referrer=explore
Sales Executive Property,Sasmita Property,"Bogor Barat, Bogor, Jawa Barat, Indonesia",Kontrak,Minimal Sarjana (S1),Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,N/A,https://glints.com/id/opportunities/jobs/sales-executive-property/3ee9d842-c525-4b72-b314-45c3b5163247?utm_referrer=explore
Tiktok Specialist,PT. Bumi Tekno Indonesia,"Pringsurat, Temanggung, Jawa Tengah, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,N/A,https://glints.com/id/opportunities/jobs/tiktok-specialist/c712fd80-df49-4923-9d22-62dd34aad649?utm_referrer=explore
Personal Assistant to Vice Rector,Indonesia International Institute For Life Sciences,"Pulogadung, Jakarta Timur, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,"A minimum of a Bachelor's degree, any major may apply.Excellent in both oral and written English is mandatory, an overseas graduate will be preferable.Proven experience working as a personal assistant is preferred.Ability to prioritize tasks, multi-task, and work within tight deadlines.Proficiency in computer technology, especially Microsoft Office applications.Strong customer service and interpersonal skills.Ability to maintain discretion and confidentiality.",https://glints.com/id/opportunities/jobs/personal-assistant-to-vice-rector/2e25a996-a399-4c70-80cf-7a3ae5d04e49?utm_referrer=explore
Bioinformatics,PT. Pandu Biosains,"Kramatjati, Jakarta Timur, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,Principal Responsibilities – Managing projects and business cases from Indonesian customers to our principal.Connect - Proactively engage in scientific discussions with customers to cultivate long term relationships as well as maintaining those positive working relationships with customers.,https://glints.com/id/opportunities/jobs/bioinformatics/ab0f4529-401b-4221-89c4-ff8bee93718a?utm_referrer=explore
Kurir Rider dan Driver,PT. Artha Kreasi Utama,"Tangerang, Tangerang, Banten, Indonesia",Penuh Waktu,Minimal SMP,Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,N/A,https://glints.com/id/opportunities/jobs/kurir-rider-dan-driver/e04e53a2-fe0d-45eb-b6a1-4b5a758ff3fd?utm_referrer=explore
Field Application Scientist,PT. Pandu Biosains,"Kramatjati, Jakarta Timur, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Sarjana (S1),Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,"Minimum has a bachelor (S1) degree, majoring in biology, pharmacy, biochemistry or any related field which has experience in molecular biology research. Fresh graduates may applyUnderstood basic molecular method used in lab, such as PCR/RT PCR, electrophoresis, DNA isolation, immune staining, etc.Knowledge and understanding in Sanger sequencing are a plus value, experience in NGS have a lot more value in recruiting considerationsHave interests in following topics: infectious disease, oncology, rare disease, or reproductive genetic healthAble to understood and implement Good Laboratory Practice (GLP) in molecular biology labsRequires excellent organizational and communication skills, verbal and written.Willing to learn, work and grow skills related to various Next Generation Sequencing applicationsWork based in Jakarta, but willing to travel across Indonesia to support customerGood English skills both in writing and speaking abilities.Excellent customer service skills.",https://glints.com/id/opportunities/jobs/field-application-scientist/d0c50964-2ff6-47ff-8f39-d312c0a0a874?utm_referrer=explore
Posisi Bidang Kreatif Lainnya,CV. Patra,"Pedurungan, Semarang, Jawa Tengah, Indonesia",Harian,Minimal SMA/SMK,Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,N/A,https://glints.com/id/opportunities/jobs/posisi-bidang-kreatif-lainnya/e4c08826-a185-4370-a000-aab367d1a258?utm_referrer=explore
Sales Consultant (Car Assistant),Pasima,"Kembangan, Jakarta Barat, DKI Jakarta, Indonesia",Paruh Waktu,Minimal SMA/SMK,Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,"Memiliki pengalaman sebagai Sales minimal 6 bulanMemiliki pengalaman Sales di industri properti, asuransi, luxury goodsLebih diutamakan -> memiliki pengalaman Sales di industri otomotif (ATPM, Showroom, Broker)Suka dengan dunia otomotif di Indonesia",https://glints.com/id/opportunities/jobs/sales-consultant-car-assistant/898235f8-0791-45ea-a5fe-02a45f92ed91?utm_referrer=explore
Account Executive Intern,Hakuhodo Jakarta,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia",Magang,Minimal Sarjana (S1),Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,Fresh graduate or Final Year Student from related fieldHave a great interest in Account ExecutiveAvailable to have internship for 3 months period,https://glints.com/id/opportunities/jobs/account-executive-intern/50bb0c5c-cccd-423d-a220-b44fe8f20712?utm_referrer=explore
Graphic Design Intern,Hakuhodo Jakarta,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia",Magang,Minimal SMA/SMK,Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,Fresh graduate or Final Year Student from related field.Have a great interest in Graphic Design.Available to have internship for 3 months period.,https://glints.com/id/opportunities/jobs/graphic-design-intern/6738543b-2949-4c27-b139-323aebc10895?utm_referrer=explore
Video Editor Internship,Virallo.id,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia",Magang,Minimal Diploma (D1 - D4),Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,3 months paid internship,https://glints.com/id/opportunities/jobs/video-editor-internship/6a7dcc64-822b-45ec-9e23-3c84c7a70675?utm_referrer=explore
Outlet Leader (Jakarta Barat),Bao Face,"Kembangan, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,"Usia max 26 tahunBergairah dan semangat bekerjaDiutamakan memiliki pengalaman di bidang F&B min 1 tahunLulusan SMK / D1Memiliki kesadaran diri tinggi untuk bekerja sebagai tim yang positifMemiliki keahlian untuk berkembangBersedia untuk bekerja pada waktu yang fleksibel, malam hari, weekend, lembur, hari rayaBersedia untuk dipindahkan ke outlet lainDomisili sesuai area penempatanMemiliki disiplin dan komitmen kerja tinggiMemiliki jiwa leadership yang tinggi",https://glints.com/id/opportunities/jobs/outlet-leader-jakarta-barat/742f80ec-a577-4b4d-bba3-c45aad957383?utm_referrer=explore
Kitchen Helper (Jakarta Barat),Bao Face,"Kembangan, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,"Usia max 24 tahunBergairah dan semangat bekerjaDiutamakan memiliki pengalaman di bidang F&BFresh graduate dari SMK jurusan atau D1 prioritasMemiliki kesadaran diri tinggi untuk bekerja sebagai tim yang positifMemiliki keahlian untuk berkembangBersedia untuk bekerja pada waktu yang fleksibel, malam hari, weekend, lembur, hari rayaBersedia untuk dipindahkan ke outlet lainDomisili sesuai area penempatanMemiliki disiplin dan komitmen kerja tinggi",https://glints.com/id/opportunities/jobs/kitchen-helper-jakarta-barat/5877ce99-ac9c-4e90-afd3-d02156e473a6?utm_referrer=explore
Outlet Leader,Bao Face,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,N/A,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",N/A,N/A,"Usia max 26 tahunBergairah dan semangat bekerjaDiutamakan memiliki pengalaman di bidang F&B min 1 tahunLulusan SMK / D1Memiliki kesadaran diri tinggi untuk bekerja sebagai tim yang positifMemiliki keahlian untuk berkembangBersedia untuk bekerja pada waktu yang fleksibel, malam hari, weekend, lembur, hari rayaBersedia untuk dipindahkan ke outlet lainMemiliki disiplin dan komitmen kerja tinggiMemiliki jiwa leadership yang tinggi",https://glints.com/id/opportunities/jobs/outlet-leader/748dde3f-222e-4a55-8189-c898363c9590?utm_referrer=explore
