Company,Job_title,Location,Salary,Work Type,Skill,Job_Desc,Links
Solusi-ku (PT Anugerah Digital Indonesia),Admin Mandarin Translator,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Able to understand the overall business process and able to coordinate and communicate with different departments in a smooth way;, Able to translate a variety of documents and make sure the accuracy based on the requirement, including but not limited to emails, reports, legal documents, and marketing materials; Fluency in spoken Mandarin is preferred;, Able to provide support to the business operation departments, able to edit the operational and compliance documents according to the guidance and instruction;, Able to deliver the information or instruction correctly, ensuring that there are no communication constraints due to language differences or misunderstanding;, Complete other tasks assigned by Supervisor and deal with emergency affairs if any.",https://glints.com/id/opportunities/jobs/admin-mandarin-translator/bbde411a-8b74-477a-bf4c-ae0388180c63?utm_referrer=explore
PT Swakarya Insan Mandiri,Hospital Admissions Excellent English Communication,"Kembangan, Jakarta Barat, DKI Jakarta, Indonesia","Rp4,9jt-Rp5,1jt",Penuh Waktu,"Customer Service, Fluent In English Both Oral And Written, Administration","Patient Registration: Registering and admitting new patients to the healthcare facility. This includes collecting and verifying patient information, such as name, address, date of birth, contact details, and insurance information., Medical Information Collection: Gathering essential medical information, including prior medical history, allergies, and current medical conditions. This information is vital for proper patient care and treatment planning., Identity Verification: Ensuring the accurate identification of patients by checking official identification documents to prevent errors in patient care., Coordination with Medical Team: Collaborating with medical staff, nurses, and doctors to ensure patients are directed to the appropriate departments or units for their care., Document Administration: Managing administrative documents, such as admission forms, medical consent forms, and insurance documentation. Ensuring these documents are completed accurately and in compliance with hospital policies., Financial Verification: Verifying patients' insurance coverage, collecting co-payments, and providing information regarding treatment costs and payment options., Customer Service: Providing excellent customer service to patients and their families, addressing inquiries, and offering assistance during the admission process., Scheduling: Coordinating and scheduling patient appointments, tests, or procedures as necessary., Collaboration with Financial and Insurance Entities: Coordinating with the hospital's financial department, insurance companies, and financial institutions as required to secure payment for medical services., Privacy and Compliance: Ensuring that patient information is handled and maintained in compliance with healthcare privacy regulations and hospital policies., Record Keeping: Maintaining electronic and physical patient records, keeping accurate and up-to-date information for reference and future use.",https://glints.com/id/opportunities/jobs/hospital-admissions-excellent-english-communication/2d59f98d-2337-451a-8ca6-28918eba4dbe?utm_referrer=explore
PT Millenium Muda Mandiri,PEREMPUAN (CLEANING SERVIS-RIYADH-ARAB SAUDI,"Pancoran, Jakarta Selatan, DKI Jakarta, Indonesia",Rp6jt-Rp6jt,Penuh Waktu,,"Melakukan tugas-tugas pembersihan, seperti membersihkan meja, lantai, kaca, dan perlengkapan kantor lainnya., Merawat dan menjaga perlengkapan pembersihan agar tetap dalam kondisi baik., Memastikan kebersihan dan keteraturan di area kerja sesuai dengan standar yang ditetapkan.",https://glints.com/id/opportunities/jobs/perempuan-cleaning-servis-riyadh-arab-saudi/85277047-e319-4a03-a126-573da3fbd1ee?utm_referrer=explore
PT. Sinar Mitra Sepadan Finance (SMS Finance Jakarta Utara),Field Collector (FC),"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Field Collector, Credit Marketing Officer, SPPI CERTIFICATION","Pendidikan Min D3 sederajat (CMO,CRE), Pendidikan Minimal SMA Sederajat (FC,PA, Recovery), Usia maksimal 33 tahun, Memiliki kendaraan bermotor dan SIM C aktif, Memiliki sertifikat SPPI (FC, PA, Remedial & Recovery), Memiliki pengalaman/Fresh Graduate dipersilakan, Penempatan Jabodetabek",https://glints.com/id/opportunities/jobs/field-collector-fc/9e3f0617-d23b-46db-bd8f-be313a77fc37?utm_referrer=explore
PT. Sinar Mitra Sepadan Finance (SMS Finance Jakarta Utara),Credit Relationship Executive,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Credit Marketing Officer, SPPI CERTIFICATION, Credit Relation Officer","Pendidikan Min D3 sederajat (CMO,CRE), Pendidikan Minimal SMA Sederajat (FC,PA, Recovery), Usia maksimal 33 tahun, Memiliki kendaraan bermotor dan SIM C aktif, Memiliki sertifikat SPPI (FC, PA, Remedial & Recovery), Memiliki pengalaman/Fresh Graduate dipersilakan, Penempatan Jabodetabek",https://glints.com/id/opportunities/jobs/credit-relationship-executive/39b72df1-de6c-4909-8ecb-7554ff23d746?utm_referrer=explore
Solusi Senyum Indonesia,Dental Assistant (Intraoral Scan Specialist),"Pasar Minggu, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Kontrak,"Dental Nurse, Dental Assistant, Patient Care","Bekerja sebagai operator scanner, Bersedia mobile ke klinik mitra, Menyelesaikan administrasi terkait kebutuhan scan (APD, travel budget, dll), Scan dengan target pasien (monthly)",https://glints.com/id/opportunities/jobs/dental-assistant-intraoral-scan-specialist/7bb1cad9-ad3d-4881-a6c0-cacc97a942e0?utm_referrer=explore
Elite Kid Course,Guru Part Time,"Denpasar Barat, Denpasar, Bali, Indonesia",Perusahaan tidak menampilkan gaji,Paruh Waktu,,"Pria/Wanita usia 20-25 tahu, Pendidikan minimal S1 atau sedang menempuh kuliah di jurusan (pendidikan bahasa inggris/sastra inggris), Memiliki pengalaman mengajar lebih disukai, Suka dengan anak-anak, Memiliki kendaraan pribadi, Jam kerja senin-sabtu (08.00 - 14.00)",https://glints.com/id/opportunities/jobs/guru-part-time/2870177c-ad3d-4d70-8cb4-583ddfe25fb2?utm_referrer=explore
PT Digital Dibimbing Indonesia,Sales Education Consultant,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Identifies and establishes partnerships with high schools, community colleges, educational institutions, and industry stakeholders., Actively engage with potential partners through meetings, presentations, workshops, and events., Cultivates and maintains strong relationships with partner institutions, counselors, teachers, and industry professionals., Coordinates joint events, workshops, seminars, and other activities to promote the university's programs and majors., Prepares regular reports & Maintain accurate records of applicant data, decisions, and admission statistics., Oversees the university's admission process, including application reviews, interviews, and document verification., Provides accurate and timely information to prospective students about the university's majors, programs, admission requirements, and financial aid options., Participates in education fairs, college expos, and recruitment events to represent the university and attract potential students.",https://glints.com/id/opportunities/jobs/sales-education-consultant/a7d91280-87d8-4015-80c9-c585a53eca88?utm_referrer=explore
PT Instrumen Musik Bersama,Sales Distributor Alat Musik,"Cakung, Jakarta Timur, DKI Jakarta, Indonesia",Rp4jt-Rp5jt,Penuh Waktu,,"Mengidentifikasi dan menghubungi prospek potensial di area yang ditugaskan., Mempromosikan dan menjual produk dan layanan perusahaan kepada pelanggan potensial., Membangun dan menjaga hubungan bisnis yang baik dengan pelanggan yang ada., Mencapai target penjualan yang ditetapkan oleh perusahaan., Mengikuti perkembangan pasar dan tren industri terkait., Memberikan layanan pelanggan yang superior dan menjawab pertanyaan atau masalah pelanggan dengan cepat dan efektif., Mengumpulkan dan menyampaikan informasi pasar dan umpan balik pelanggan kepada tim manajemen.",https://glints.com/id/opportunities/jobs/sales-distributor-alat-musik/b60823d5-6d98-477f-b49c-869cc56be1e0?utm_referrer=explore
PT Miranda Moda Indonesia,Purchasing Freelance,"Pondok Aren, Tangerang Selatan, Banten, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Follow up on order data with the designer, sample team, and finance (for design and motif approval, consumption, and pricing) for order purposes., Coordinate with suppliers regarding upcoming orders (price, due date delivery, agreement points)., Initiate the Purchase Request (PR) creation process., Initiate the Purchase Order (PO) creation process.Follow up on the production of raw fabric materials with the supplier and maintain the agreed-upon due date delivery and points., Coordinate with the QC team regarding the fabric inspection schedule with the supplier., Coordinate with the finance team regarding the payment schedule to the supplier., Handle the allocation of fabric delivery to the CMT/Garment vendor., Maintain records related to the details of purchases made., Prepare swatches for reference in the printing process for the production team., Gather samples for a photoshoot from the production team for the marketing team.",https://glints.com/id/opportunities/jobs/purchasing-freelance/f2136e19-14ee-4119-86dd-8a49cd77c943?utm_referrer=explore
Shenelin,Marketplace Specialist,"Tangerang, Tangerang, Banten, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Online Marketplace, Good Communication Skills, Administration","Develop and manage marketplace (Shopee, Tokopedia, Lazada, Zalora), As admin for marketplace (CS), Create designs and videos with captions for products uploaded to the marketplace, Live streaming in the marketplace",https://glints.com/id/opportunities/jobs/marketplace-specialist/8a7436b9-0be2-4db0-bd8c-fcdd88b514ff?utm_referrer=explore
