id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link
gl5,Animator,Media Fakta Global,3ds Max,"Pancoran, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Minimal S1 di bidang Animasi, Seni Rupa atau bidang terkait, Pengalaman 1-3 tahun di media kreatif, Pengalaman yang terbukti dengan portofolio mendukung (Animasi), Kemampuan dalam menggunakan Adobe illustrator, Adobe After Effect, Autodesk Maya, Rotoscope Animation dan lain sebagainya., Pengetahuan tentang rigging 3D, Mampu membuat Storyline dan Storyboard, Paham alur kerja media., Kemampuan bekerja secara tim maupun individu., Mampu memahami kebutuhan industri., Pengalaman organisasi/komunitas menjadi nilai tambah, Pengalaman kerja di media massa menjadi nilai tambah, Menguasai bahasa Inggris menjadi nilai tambah, Bersedia bekerja dibawah tekanan, Berpikir kreatif dan strategis, Memiliki keterampilan interpersonal dan komunikasi yang bagus",https://glints.com/id/opportunities/jobs/animator/e4542a20-e282-4e13-a6c2-0d1c8919c9f0?utm_referrer=explore
gl6,3D artist,PT. Citra Mediatama Indonesia,3D MODELLING BLENDER,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Candidates must hold S1 or D3 qualifications., Analyzing and discussing project briefs with the Corporate Director and Head of Creative Production is a key responsibility., The ability to produce 3D designs according to approved guidelines from the Corporate Director is essential., Proficiency in Blender 3D Animation+, Adobe Photoshop, and Adobe After Effects (VFX & Motion Graphics) is a requirement., Rendering 3D design drafts while ensuring adherence to quality standards is expected., Designing automotive 3D models is a mandatory skill., Quality control of 3D designs before reporting to the Corporate Director is part of the job., Candidates should be prepared to await feedback from the Corporate Director and Client on 3D designs., Ensuring the quality of final 3D designs and taking responsibility for revisions is obligatory., Collaborating with the Corporate Director on final Quality Control before client presentations is a crucial aspect of the role., The position requires on-site work at our office (WFO).",https://glints.com/id/opportunities/jobs/3d-artist/abf80a51-06b8-480f-99c5-c7fc5aa244a7?utm_referrer=explore
gl10,Sales Executive,PT Istana Surya Perkasa,Sales and Marketing,"Sawahan, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Sales and Marketing, B2b Sales, Retail Sales",SMA/SMK,"Laki- Laki, maksimal 38 tahun, Pendidikan minimal SMA/SMK/D1 (Teknik Mesin diutamakan), Pengalaman minimal 2 tahun di bidang yang sama, Kemampuan komunikasi dan negosiasi yang baik, Memahami penjualan mesin, sparepart dan dinami, Pengetahuan tentang administrasi sales  teknologi informasi diperlukan, Bersedia dinas luar kota dan pulau, Diutamakan menguasai wilayah Indonesia Barat ( JABAR, DKI, BANTEN, & SUMATERA), Penempatan Surabaya",https://glints.com/id/opportunities/jobs/sales-executive/f142a78e-98ce-4e61-b418-e00c746bd662?utm_referrer=explore
gl11,Digital Paid-Advertising Associates,Based By Basil,Google Ads,"Kalideres, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp4,5jt-Rp6jt",1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Manage brand ad account on Ads Manager and monitor their progress throughout the day. (Mainly Facebook/Meta Ads), Provide daily ad reports detailing any changes in their performance as well as any changes you made to its activity., Monitor and maximize campaign budgets to meet their respective KPIs., Content planning and copywriting for clients., Write up monthly performance report.",https://glints.com/id/opportunities/jobs/digital-paid-advertising-associates/92198b26-5728-4eb4-a8be-31fd20fb7267?utm_referrer=explore
gl12,Senior Product Admin,PT Smoot Motor Indonesia,Standard Operating Procedure (SOP),"Cakung, Jakarta Timur, DKI Jakarta, Indonesia",Kontrak,Tidak ditampilkan,Tidak ditampilkan,3 – 5 tahun,"Standard Operating Procedure (SOP), Microsoft Office, Office Administration, Administration",Diploma (D1 - D4),"Laki-laki, Pendidikan Minimal D3/S1 Manajemen / Administrator, berpengalaman minimal 3 tahun di level staff), Berpengalaman membuat SOP / Instruksi Kerja / Proposal, Berpengalaman mengoperasikan dan mengolah data di Ms Office / Google Workspace, Memiliki kemampuan dalam mengalisa proses dan Problem Solving, Kemampuan komunikasi dan manajemen waktu yang baik",https://glints.com/id/opportunities/jobs/senior-product-admin/ccad0981-318c-416e-b3b2-bf73bce8b8dd?utm_referrer=explore
gl14,Sales Supervisor area Semarang,PT. Ulam Tiba Halim (marifood),Strategi Penjualan,"Ngaliyan, Semarang, Jawa Tengah, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp3,5jt-Rp3,5jt",1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Mengatur dan melakukan kunjungan penjualan, Menjaga hubungan dengan customer, Bekerja sama dengan tim yang ada dibawahnya untuk mencapai target penjualan, Menjalankan program marketing yang berjalan, Mengelola catatan aktivitas penjualan dan menyusun laporan penjualan",https://glints.com/id/opportunities/jobs/sales-supervisor-area-semarang/59c56c7f-1725-4e03-b0f0-da31e63775b9?utm_referrer=explore
gl15,Desain Grafis,PT Tripoint Centralindo,Desain Grafis,"Sidoarjo, Sidoarjo, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,SMA/SMK,"Membuat dan merancang materi branding atau iklan, Membuat materi iklan cetak dan digital, Mengembangkan Visual Utama dan Materi Pendukung untuk Kampanye Pemasaran, Membantu dalam pengelolaan situs web, buletin, dan lainny, Mendesain materi grafis, penjualan, dan pemasaran, misalnya EDM / Poster / Spanduk / Display Penjualan, Mengelola Desain dari Konsep hingga Produksi, Berinteraksi dengan percetakan eksternal atau kontraktor/pemasok untuk memastikan kualitas terbaik dan pemenuhan tenggat waktu, Mendokumentasikan dengan baik semua file desain",https://glints.com/id/opportunities/jobs/desain-grafis/3c11f1e5-41cb-4005-a019-e84ed6da1752?utm_referrer=explore
gl17,Video Editor,PT Ethos Kreatif Indonesia,Sosial Media Management,"Kemayoran, Jakarta Pusat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,SMA/SMK,"Pendidikan minimal SMA/SMK semua jurusan, Berpengalaman minimal 1 tahun di bidang yang sama menjadi nilai plus, Mahir dalam penggunaan Software Adobe Premiere Pro atau Davinci Ressolve Edit, Memiliki kepekaan yang kuat terhadap komposisi, pencahayaan, warna, serta keterampilan teknis yang kuat, Mampu untuk mempelajari perangkat lunak/teknik baru dengan cepat, Mengikuti tren social media, tren editing dan berpikir kreatif",https://glints.com/id/opportunities/jobs/video-editor/9d3c422a-0415-47d1-9508-e9f29d5330ce?utm_referrer=explore
gl18,HR Senior Staff,Mutiara Harapan Islamic School,HR Generalist,"Pondok Aren, Tangerang Selatan, Banten, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,3 – 5 tahun,"HR & Payroll, HR Generalist, End To End Recruitment, Personnel Management, Legal Drafting",Sarjana (S1),"Manage the complete recruitment life cycle, including sourcing, screening, interviewing, and onboarding candidates., Ensure strict compliance with employment regulations, teacher and lecturer regulations, and other pertinent laws within an educational setting., Exhibit strong administrative skills to efficiently manage HR-related tasks and streamline processes., Develop and implement HR policies and procedures that align with the school's values and objectives., Collaborate closely with various departments to address HR-related challenges and provide guidance.",https://glints.com/id/opportunities/jobs/hr-senior-staff/e02252ae-6cbc-4bbf-a689-0ce297cb816f?utm_referrer=explore
gl19,Business Development Manager,PT Beautinesia Media Nusantara,Sales Marketing,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,3 – 5 tahun,"Advertising Agency, B2b Sales, Good Communication Skills, dealing with client, Sales Marketing",Sarjana (S1),"Building, developing, and sustaining solid relationships with company stakeholders and customers., Identifying new business opportunities and the most effective approach to pursue them., Building and managing client pipelines, and closing deals., Achieving business development targets., Working closely and coordinating with the operational team and business team in Beautynesia., Analyzing customer feedback data to improve and expand our offerings and deepen our relationships.",https://glints.com/id/opportunities/jobs/business-development-manager/69dbe46b-f2e8-43af-9867-996c4b54b625?utm_referrer=explore
gl20,Supply Chain Management Staff,PT Ethos Kreatif Indonesia,Data Analyst,"Cilacap Tengah, Cilacap, Jawa Tengah, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,Diploma (D1 - D4),"Mengelola proses perencanaan inventaris untuk memastikan tingkat stok yang optimal, Menganalisis data penjualan dan meninjau forecast accuracy, Menjaga realisasi perencanaan inbound dan outbound untuk memastikan seluruh transaksi tercatat berdasarkan permintaan, Berhubungan dengan Sales, Principal dan bagian lain untuk mengatasi masalah yang terkait dengan proses demand supply",https://glints.com/id/opportunities/jobs/supply-chain-management-staff/5eb6b21d-2ec0-4711-be87-0d2560bb3f6d?utm_referrer=explore
gl21,Marketing Staff,Wenfeng International Group,Fragrance,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,Diploma (D1 - D4),"Create detailed business plans to facilitate the attainment of goals and quotas, Manage the entire sales cycle from finding a client to securing a deal, Unearth new sales opportunities through networking and turn them into long term partnerships, Present Our Company Products to prospective clients, Provide professional after-sales support to enhance the customers’ dedication, Remain in frequent contact with the clients in your responsibility to understand their needs, Respond to complaints and resolve issues aiming to customer contentment and the preservation of the company’s reputation, Negotiate agreements and keep records of sales and data",https://glints.com/id/opportunities/jobs/marketing-staff/9e7cc990-2653-452e-b9bf-66d9585079ac?utm_referrer=explore
gl22,Software Engineer,Fajar Korpora Indonesia,Software Engineering,"Serang, Serang, Banten, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,SMA/SMK,"Pria Maksinal Usia 30 tahun, Penidikan Min SMK/STM, jurusan Elektronika, TKJ, Informatika, Pengalaman Min 1 ahun dibidang ISP, ICT, Karakteristik, bersedia belajar, bisa bekerjasma dengan team, mengutamakan pelayanan kepada pelanggan",https://glints.com/id/opportunities/jobs/software-engineer/338998a2-4039-4a3d-9238-7633f2b8f6fb?utm_referrer=explore
gl24,Marcomm & Social Media Specialist Staff,PT. Mido Indonesia,Adobe Illustrator,"Sawangan, Depok, Jawa Barat, Indonesia",Kontrak,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Adobe Illustrator, Canva Design, Adobe Photoshop",Sarjana (S1),"Mengelola aktivitas website dan content social media (Instagram, Tiktok, Facebook, Twitter, Linkedin, dll)., Meningkatkan brand awareness untuk mendukung penjualan secara online dan offline., Membangun relationship dengan pihak vendor/ mall/ dept.store, maunpun customer., Mengorganisir pameran/ event marketing., Membuat banner design untuk kegiatan promosi.",https://glints.com/id/opportunities/jobs/marcomm-and-social-media-specialist-staff/41abd39a-d62c-4150-894c-b5c4e53d8976?utm_referrer=explore
gl25,Secretary - Site Project,PT Woh Hup Indonesia,Ms Office,"Cikarang Pusat, Bekasi, Jawa Barat, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,Diploma (D1 - D4),"Menyiapkan segala keperluan meeting yang dihadiri direktur dan membuat notulen, Menyusun dan membuat jadwal kegiatan direktur, Melaksanakan administratif, surat meyurat, dan pengarsipan, Melaksanakan perisapan bahan kerja, Melakukan notulensi dalam kegiatan meeting atau rapat berkala pimpinan, Melaksanakan tugas langsung di intruksikan oleh pimpinan, Menjadi konektor antara direksi dengan staff dan manager, Mencatat dan memfollow up hasil meeting ke PIC terkait baik internal maupun eksternal",https://glints.com/id/opportunities/jobs/secretary-site-project/8b425ff9-081e-4a17-af7a-f98aba6819fe?utm_referrer=explore
gl26,KORWIL SECURITY,PT Delta Tekno Perkasa,Able To Create Good Relationship With Peoples,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Kontrak,Tidak ditampilkan,Rp4jt-Rp5jt,3 – 5 tahun,"Strong Leadership Skills, Able To Create Good Relationship With Peoples, Teamwork And Interpersonal Skills",SMA/SMK,"Memahami dan mengerti tugas dan tanggung jawab seorang kordinator security, Membuat perencanaan system keamanan dan kegiatan operasional kerja, Membuat perencanaan kerja mingguan, bulanan dan tahunan, Menerapkan prosedur tetap atau pun sistem prosedur dengan baik dan efektif, Melakukan koordinasi bersama aparat setempat seperti tokoh masyarakat, Pemda dan Polri, Mengkomunikasikan kebijakan yang telah ditetapkan oleh bagian managemen ke bagian internal di perusahaan, Melakukan pembinaan terhadap semua bawahan, Menegakkan kedisiplinan kepada bawahannya dan berikan instruksi kerja secara jelas",https://glints.com/id/opportunities/jobs/korwil-security/3169d644-4221-4dec-890c-42971caf450c?utm_referrer=explore
gl27,Bridal Couture Boutiqe - Sanur,Phangsanny,Fluent In English Both Oral And Written,"Denpasar Timur, Denpasar, Bali, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp3jt-Rp5jt,1 – 3 tahun,"Customer Service, Fashion Store Display, Fluent In English Both Oral And Written",SMA/SMK,"Female (21 - 30 y.o), Fluent in English, Sallary : 3 mio - 5 mio per month, Commissions, Education: High school diploma or equivalent.",https://glints.com/id/opportunities/jobs/bridal-couture-boutiqe-sanur/d317073d-a459-4368-bab8-a7c903b5d165?utm_referrer=explore
gl28,PPJK (Export-Import),PT. Andalan Niaga Expressindo,Ms Office,"Pancoran, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Min D3, 2-3 years of experience in the export-import business, Certified Kepabeanan is required, Good knowledge about export-import by sea & air, Good in written and spoken english, Good knowledge MS Office",https://glints.com/id/opportunities/jobs/ppjk-export-import/44170401-7421-40dd-a9e9-a25a33d8e59e?utm_referrer=explore
gl31,Dokter Umum,PT Medisata Global Solusi,Emphatic Skills,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Minimal S1 Kedokteran, Mampu melakukan diagnosa, Memiliki STR yang aktif, Bersedia kerja full time, Jujur, bekerja keras, dan disiplin, Penempatan di Kedoya, Jakarta Barat",https://glints.com/id/opportunities/jobs/dokter-umum/c62b4278-df00-48df-9d7e-8ea045df3f58?utm_referrer=explore
gl33,IT Development (Full-Stack),JIC Digital Media,Fullstack Developer,"Cipondoh, Tangerang, Banten, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp8jt-Rp15jt,3 – 5 tahun,"Network Security, Docker, Fullstack Developer, Agile Project Management",Sarjana (S1),"Write well-designed, testable, and efficient codes, Building features and applications with a responsive design, Gather and evaluating user feedback, Troubleshoot, debug, and upgrade software, Develop and manage software related aspects of product development including app, webpage design & maintenance, and program codes upgrading, Stay up-to-date with the latest web development technologies",https://glints.com/id/opportunities/jobs/it-development-full-stack/05160f87-68d3-44f7-a407-8e1bdc24b6d2?utm_referrer=explore
gl35,Ecommerce Specialist / Marketplace Specialist,PT Distributor Gadget Indonesia,Shopee Ads,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,SMA/SMK,"Mengelola Marketplace (Upload produk, Update Stock & Harga, dll), Membuat strategi agar toko di marketplace / E-Commerce (tokopedia, bukalapak, shopee, dsb) bisa mencapai target penjualan, Mengoptimalisasi iklan berbayar di e-commerce, Menjalankan jobdesc lain sesuai dengan ruang lingkup posisi",https://glints.com/id/opportunities/jobs/ecommerce-specialist-marketplace-specialist/9a8d961e-a385-4e2a-898d-970bc40b06a1?utm_referrer=explore
gl36,Fashion Designer,PT. DWIE MUSLIMAH JAYA,Digital Illustration,"Cengkareng, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp5jt-Rp6,5jt",1 – 3 tahun,Tidak ditampilkan,Diploma (D1 - D4),"Membuat desain busana (fashion modest) khususnya syar'i dan memvisualisasikan desainnya kepada Brand Owner., Aktif dan produktif mencari tahu tentang tren busana (fashion modest) terkini., Mengolah desain dan menyesuaikan serta menerapkan ke bahan yang sesuai hingga menjadi baju sampel., Berkoordinasi dengan tim internal terkait pada proses pembuatan sampel hingga tahap produksi busana yang di desain., Melakukan review analisa desain untuk setiap koleksi baju yang sudah diproduksi dan dijual ke market.",https://glints.com/id/opportunities/jobs/fashion-designer/b3f083f9-0699-425d-b201-3d267c4d2804?utm_referrer=explore
gl39,Senior Business Analyst,Impact,Business Process Improvement,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,3 – 5 tahun,"Business Analysis, ERP Implementation, Business Process Improvement, ERP Odoo Project Implementation, Enterprise Resource Planning (ERP), Business Consulting",Sarjana (S1),"Identify the requirement and propose a good alternative solution to client requirement, Collaborate with cross-functional team to design and develop ERP/Odoo apps (new module development, customization), Develop new features and app that users care about, Define features scope, bring a real value to the product, Will be hands-on in ERP project integration, implementation and development",https://glints.com/id/opportunities/jobs/senior-business-analyst/3e69bb77-d672-4e51-b108-2759e1f09363?utm_referrer=explore
gl40,Business Analyst,Impact,Project Management,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Identify the requirement and propose a good alternative solution to client's requirement, Collaborate with cross-functional team to design and develop ERP/Odoo apps (new module development, customization), Develop new features and apps that users care about, Define features scope, bring real value to the product, Will be hands-on in ERP project integration, implementation, and development",https://glints.com/id/opportunities/jobs/business-analyst/37359fa2-3bc3-4641-89b0-3775c7f56996?utm_referrer=explore
gl41,UI UX Developer,JIC Digital Media,Agile Project Management,"Cipondoh, Tangerang, Banten, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,3 – 5 tahun,Tidak ditampilkan,Sarjana (S1),"Conduct user research to understand user needs and behaviors, Create user personas and user journey maps to identify user pain points and opportunities, Develop wireframes, prototypes, and mockups to visualize design ideas, Design user interfaces that are both visually appealing and easy to use, Collaborate with designers, product managers, and engineers to iterate on designs and ensure they meet user needs, Stay up-to-date with the latest UI/UX trends and best practices",https://glints.com/id/opportunities/jobs/ui-ux-developer/3b8f4265-d189-441d-a331-c39096417e1f?utm_referrer=explore
gl42,Team Leader Cleaning Service,PT Delta Tekno Perkasa,Service Oriented,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Kontrak,Tidak ditampilkan,Rp3jt-Rp4jt,3 – 5 tahun,Tidak ditampilkan,SMA/SMK,"Bertanggung jawab atas seluruh kegiatan operasional cleaning service, Memiliki pemahaman yang baik di pekerjaan housekeeping dan cleaning service, Mengontrol dan memastikan kegiatan operasional berjalan sesuai SOP, Mengontrol dan memastikan kelengkapan dan ketersediaan peralatan/perlengkapan kerja, serta fasilitas pendukung selalu tersedia., Melakukan pemeriksaan terhadap absensi kehadiran serta kinerja karyawan, Melakukan briefing dan evaluasi pekerjaan secara berkala, Memberikan arahan dan instruksi kerja kepada petugas cleaning di lapangan (bisa mengatur bawahan dengan baik), Menangani komplain yang ada kaitannya dengan sarana dan prasarana kebersihan",https://glints.com/id/opportunities/jobs/team-leader-cleaning-service/a4fce15a-8c05-48ad-a8ba-d90546da671c?utm_referrer=explore
gl45,Staff Accounting,PT Willson Surya Unggul,Accounts Receivable,"Curug, Tangerang, Banten, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Accounts Receivable, ERP Software, Microsoft Excel, Accounting, Espt Pajak, Account Payable",Sarjana (S1),Responsibilities:,https://glints.com/id/opportunities/jobs/staff-accounting/82354c82-f983-4232-8f97-6904ea153023?utm_referrer=explore
gl49,Database and Business Intelligence,"PT Anabatic Technologies, Tbk",Data Analysis,"Kelapa Dua, Tangerang, Banten, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Developing and managing business intelligence solutions for the organization, Develop and execute database queries and conduct analyses, Generate reports, dashboards, and visualizations to present findings to stakeholders and support data-driven decision-making",https://glints.com/id/opportunities/jobs/database-and-business-intelligence/7557d5b3-d4d7-479e-82bb-4f60662c44d3?utm_referrer=explore
gl50,Supply Chain,Pennyu Group,Fluent In English Both Oral And Written,"Semarang Timur, Semarang, Jawa Tengah, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp5jt-Rp6jt,1 – 3 tahun,"Negotiation Skill, Fluent In English Both Oral And Written, Good Communication Skills",Diploma (D1 - D4),"Collaborate with suppliers for timely delivery, Monitor inventory for optimal stock levels, Coordinate with internal teams for smooth delivery of importation item(s), Analyze data for process improvement, Collaborate with suppliers for timely delivery, including importing items from offshore, Monitor inventory for optimal stock levels, maintaining stock availability and buffer stock, Create purchase documents and coordinate with internal teams for smooth delivery, Monitor daily movement of products and analyze data for process improvement, including counting forecast, Liaise with project manufacture, production or other function to specify the need for procurement solutions, Ensure purchasing of relevant materials according to business needs.",https://glints.com/id/opportunities/jobs/supply-chain/f0cbe743-4d9d-40c8-8bb1-bf3afaa74bca?utm_referrer=explore
gl52,Sales Executive,PT Shenglong International,Negotiation,"Tangerang, Tangerang, Banten, Indonesia",Kontrak,Tidak ditampilkan,Rp5jt,1 – 3 tahun,Tidak ditampilkan,Diploma (D1 - D4),"Menghasilkan kemitraan antar klien, termasuk upselling dan cross-selling, Mengembangkan hubungan positif dengan klien (Bisnis Menengah – Besar), Bertindak sebagai titik kontak dan menangani kebutuhan individu pelanggan, Mengelola proyek dalam hubungan klien, bekerja untuk melaksanakan tujuan klien sekaligus memenuhi tujuan perusahaan, Bertanggung jawab untuk menjaga kepuasan klien saat ini dan memberikan layanan klien yang luar biasa setiap hari, Menyelesaikan konflik dan memberikan solusi kepada pelanggan tepat waktu, Memperkirakan dan melacak metrik akun klien, selaras dengan tujuan perusahaan, Menyarankan tindakan untuk meningkatkan kinerja penjualan dan mengidentifikasi peluang pertumbuhan, Menghasilkan bisnis baru menggunakan jaringan pelanggan yang ada dan potensial",https://glints.com/id/opportunities/jobs/sales-executive/41ee4bb5-8c0a-4b46-9368-0113ba5e558b?utm_referrer=explore
gl53,Sopir,PT. Full House Servindo,Sopir operasional kendaraan roda,"Kapanewon Pajangan, Bantul, DI Yogyakarta, Indonesia",Kontrak,Tidak ditampilkan,"Rp1,7jt",1 – 3 tahun,Tidak ditampilkan,SMA/SMK,"Mengemudikan kendaraan dengan aman dan bertanggung jawab., Mengantarkan barang atau karyawan ke tujuan sesuai dengan rute yang ditentukan., Memastikan kondisi kendaraan dalam keadaan baik dan melakukan perawatan rutin., Mematuhi peraturan lalu lintas dan menjaga keamanan selama perjalanan.",https://glints.com/id/opportunities/jobs/sopir/354fe217-972e-4fb7-848a-280abb8b404d?utm_referrer=explore
gl54,Sales Executive,"PT Agung Podomoro Land, Tbk (agung Podomoro Group)",Marketing,"Balikpapan Kota, Balikpapan, Kalimantan Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Marketing, Berkomunikasi Dengan Baik, Microsoft Office",SMA/SMK,"Mengatur dan melakukan kunjungan penjualan, Membuat proposal terperinci dan materi untuk presentasi kepada klien, Menawarkan kepada klien tentang layanan dan penawaran perusahaan, Menjaga hubungan dengan klien dengan memberikan dukungan dan informasi, Menyarankan peluang baru dan solusi, Bekerja sama dengan tim Pemasaran untuk menyusun paket layanan, Memberikan tanggapan yang cepat terhadap pertanyaan atau penyelesaian keluhan klien, Membantu mencapai target penjualan, Mengelola catatan aktivitas penjualan dan menyusun laporan penjualan",https://glints.com/id/opportunities/jobs/sales-executive/84009193-6d30-489f-bd3c-cccc316f4a92?utm_referrer=explore
gl55,Account Executive,Pt Hui Huang Media,Marketing,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp4jt,1 – 3 tahun,"Marketing Communications, Marketing, English, perfumery and, Market Research, Sales and Marketing, Communication",Diploma (D1 - D4),"Create detailed business plans to facilitate the attainment of goals and quotas, Manage the entire sales cycle from finding a client to securing a deal, Unearth new sales opportunities through networking and turn them into long term partnerships, Present Our Company Products to prospective clients, Provide professional after-sales support to enhance the customers’ dedication, Remain in frequent contact with the clients in your responsibility to understand their needs, Respond to complaints and resolve issues aiming to customer contentment and the preservation of the company’s reputation, Negotiate agreements and keep records of sales and data",https://glints.com/id/opportunities/jobs/account-executive/2cf651e4-6faa-4271-8494-a5baa88cce23?utm_referrer=explore
gl62,Product Executive Intern,Vicalta Gracias Indonesia,Comparison,"Kembangan, Jakarta Barat, DKI Jakarta, Indonesia",Magang,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Able to work as team or individual, High Initiative, Analytical Skills, Product Knowledge, Comparison, Good Communication Skills, High responsibility",SMA/SMK,"Min. SMA/K Sederajat, Mahir menggunakan Ms Office dan Google Suites, Komunikatif dan Tanggap, Mampu bekerja secara individu maupun team",https://glints.com/id/opportunities/jobs/product-executive-intern/1edcf401-5f9a-45a8-a48a-6c3e0e180f8b?utm_referrer=explore
gl65,Admin,CV Central Solusindo Utama,pembelian,"Sawahan, Surabaya, Jawa Timur, Indonesia",Magang,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"pembelian, Mengarsipkan dokumen, Administration",SMA/SMK,"Melakukan pembelian barang, Memastikan barang yang dipesan tiba di waktu yang ditentukan, membuat PO, invoice dan mendokumentasikannya, Melakukan pelaporan atas pembelian yang dilakukan, melakukan kontrol atas ketersediaan barang, mencari supplier untuk memperoleh harga terbaik, melakukan pencatatan purchasing order",https://glints.com/id/opportunities/jobs/admin/724bf59b-fe45-4abf-b41f-8034dbd63f24?utm_referrer=explore
gl86,Sales Showroom,PT Panca Wisesa Adhika,Marketing,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,Tidak ditampilkan,SMA/SMK,"Mengecek kelengkapan dan kerapihan produk-produk yang dipamerkan (produk display)., Melakukan transaksi penjualan sesuai  dengam standar yang ditetapkan., Membuat laporan penjualan sesuai dengan schedule yang ditetapkan., Melakukan follow up penagihan piutang kepada customer., Melayani customer sesuai dengan standar yang ditetapkan.",https://glints.com/id/opportunities/jobs/sales-showroom/9496c07c-c0ec-4891-8a44-5f4511bd636b?utm_referrer=explore
gl94,ACCESS & COMMUNITY RELATION Garut,PT Sinar Jernih Suksesindo Bandung,Social Media Marketing,"Pangatikan, Garut, Jawa Barat, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp2jt-Rp4jt,Kurang dari setahun,"Marketing, Social Media Marketing, Digital Marketing",Diploma (D1 - D4),"Mengidentifikasi dan menghubungi prospek potensial di area yang ditugaskan., Mempromosikan dan menjual produk dan layanan perusahaan kepada pelanggan potensial., Membangun dan menjaga hubungan bisnis yang baik dengan pelanggan yang ada., Mencapai target penjualan yang ditetapkan oleh perusahaan., Mengikuti perkembangan pasar dan tren industri terkait., Memberikan layanan pelanggan yang superior dan menjawab pertanyaan atau masalah pelanggan dengan cepat dan efektif., Mengumpulkan dan menyampaikan informasi pasar dan umpan balik pelanggan kepada tim manajemen.",https://glints.com/id/opportunities/jobs/access-and-community-relation-garut/f2d10e67-56f2-40fb-8919-9a17ed562e58?utm_referrer=explore
