id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link
gl540,Call Center/IT Helpdesk,CITRANET (PT Jembatan Citra Nusantara),Calm under pressure,"Kartasura, Sukoharjo, Jawa Tengah, Indonesia",Kontrak,Tidak ditampilkan,"Rp2,3jt-Rp2,7jt",Kurang dari setahun,Tidak ditampilkan,SMA/SMK,"Menjawab segala pertanyaan dan keluhan dari pelanggan secara digital, Menyatat dan menyampaikan keluhan dari pelanggan ke tim untuk di tindak lanjuti, Pembuatan laporan dari permasalahan yang telah di atasi untuk record, Memberikan solusi yang masuk akal dengan berkoordinasi ke tim kepada pelanggan",https://glints.com/id/opportunities/jobs/call-center-it-helpdesk/f063d9bd-7767-423b-9098-9cd0ab022446?utm_referrer=explore
gl541,Surveillance,CITRANET (PT Jembatan Citra Nusantara),Monitoring Skill,"Kapanewon Depok, Sleman, DI Yogyakarta, Indonesia",Kontrak,Tidak ditampilkan,"Rp2,2jt-Rp2,5jt",Kurang dari setahun,"Network monitoring, Monitoring Skill, Network Management > Network Monitoring, Good Communication Skills, Team Coordination",SMA/SMK,"Memantau aktivitas jaringan secara real time;, Melakukan analisis terhadap grafik jaringan yang tersedia;, Melaporkan kendala atau hambatan yang tertera pada grafik ke tim yang bertanggung jawab.",https://glints.com/id/opportunities/jobs/surveillance/cb0e90f1-c88a-4f95-bed8-ce4446e92de7?utm_referrer=explore
gl542,Network Operation Center,CITRANET (PT Jembatan Citra Nusantara),Mikrotik Advance,"Kapanewon Depok, Sleman, DI Yogyakarta, Indonesia",Kontrak,Tidak ditampilkan,Rp2jt-Rp3jt,Kurang dari setahun,"Networking MikroTiks, Network Administration, Cisco Networking (ccna), Mikrotik Advance, Mikrotik Routing, MikroTik Certified Network Associate",SMA/SMK,"Menangani maintenance dan kendala terkait jaringan, Melakukan follow up kepada pelanggan, untuk menjalin hubungan baik, End to end proses konfigurasi jaringan, Bekerja sama dengan tim yang lain untuk mengidentifikasi masalah yang berkemungkinan terjadi",https://glints.com/id/opportunities/jobs/network-operation-center/6ac2e844-fcec-41db-b7c8-168b4407b435?utm_referrer=explore
gl543,Teknisi Fiber Optic (Instalasi-Maintenance-Troubleshooting),CITRANET (PT Jembatan Citra Nusantara),Fiber Optic Networks,"Purwokerto Selatan, Banyumas, Jawa Tengah, Indonesia",Kontrak,Tidak ditampilkan,"Rp2jt-Rp2,5jt",Kurang dari setahun,Tidak ditampilkan,SMA/SMK,"Memahami end to end proses instalasi jaringan fiber optik dan wireless, Berani untuk memanjat selama proses instalasi, Melakukan komunikasi yang baik terhadap pelanggan selama  proses instalasi, Melakukan konfigurasi awal untuk pemasangan jaringan",https://glints.com/id/opportunities/jobs/teknisi-fiber-optic-instalasi-maintenance-troubleshooting/62295455-3958-477f-82c0-db3994ebec3d?utm_referrer=explore
gl545,Sales Marketing,Zinnia Printing,Sales Marketing,"Sukolilo, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Target Oriented, Menjalin relasi yang baik kepada customer dan melakukan handling, Sales Marketing",SMA/SMK,"Mencari & mengelola Corporate Account, Mencari perusahaan yang membutuhkan digital printing, advertising synage, interior untuk menawarkan produk perusahaan, Membina hubungan baik dengan perusahaan  memgollow-up secara rutin kepada mereka, Mempunyai target penjualan setiap bulannya",https://glints.com/id/opportunities/jobs/sales-marketing/50beae33-50ca-470e-8f94-0f3f1ed66cbf?utm_referrer=explore
gl546,Guru TKJ (Teknik Komputer dan Jaringan),SMK Bina Taqwa Depok,disiplin dan bertanggung jawab,"Sukmajaya, Depok, Jawa Barat, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Guru, disiplin dan bertanggung jawab, Mengajar",Sarjana (S1),"Pria/Wanita, S1, Berpengalaman mengajar di SMK",https://glints.com/id/opportunities/jobs/guru-tkj-teknik-komputer-dan-jaringan/e47c5730-aa19-4330-ae53-a113f12f6c67?utm_referrer=explore
gl547,Content Creator Junior,Mangrove Corp,Semangat dan Kreatif,"Kemantren Ngampilan, Yogyakarta, DI Yogyakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,Tidak ditampilkan,SMA/SMK,"Pria / Wanita, Pendidikan Min SMA / SMK (diutamakan yang relevan), Mampu take dan edit konten foto & video, Terbiasa dengan Aplikasi VN, Capcut dan TikTok, Update trend market, Memiliki jiwa seni yang baik, inisiatif, inovatif dan kreatifitas tinggi, Bisa bekerja dalam tim maupun individu, Mampu bekerja cepat dan mampu menerima evaluasi",https://glints.com/id/opportunities/jobs/content-creator-junior/90343ef6-6c19-42c7-8318-03f907810bd4?utm_referrer=explore
gl548,SALES OPERATION INTERN,Qalboo,Maintain Relationship,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta, Indonesia",Magang,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,Tidak ditampilkan,Sarjana (S1),"Identifikasi dan menghubungi klien potensial, terutama sekolah dan lembaga pendidikan, untuk mempromosikan layanan Qalboo., Membangun dan memelihara hubungan yang kuat dengan sekolah, guru, dan pengambil keputusan utama dalam lembaga pendidikan untuk membangun kepercayaan dan memperluas jaringan., Menjelaskan/menginfokan layanan perusahaan secara jelas dan persuasif kepada calon klien., Analisis kebutuhan dan tantangan spesifik yang dihadapi oleh setiap sekolah atau lembaga pendidikan untuk menyesuaikan penawaran layanan., Berpartisipasi dalam negosiasi mengenai harga, ketentuan kontrak, dan durasi layanan dengan klien, memastikan perjanjian yang saling menguntungkan., Mengembangkan strategi penjualan yang efektif dan terstruktur untuk mencapai target penjualan., Mencatat semua interaksi penjualan dan proses penjualan ke dalam laporan penjualan berkala., Bekerja sama dengan tim internal untuk memastikan kelancaran pemberian layanan., Mempertahankan standar etika yang tinggi dan menjaga profesionalisme dalam interaksi dengan klien.",https://glints.com/id/opportunities/jobs/sales-operation-intern/27d225a8-8a6d-4c5e-b057-946f488d4718?utm_referrer=explore
gl553,MANAGEMENT TRAINEE / PKL,ibis Styles Bali Denpasar,Good Personality,"Denpasar Barat, Denpasar, Bali, Indonesia",Magang,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,Tidak ditampilkan,SMA/SMK,"Customer service oriented, Active person with outgoing personality, Adequate interpersonal & communication skills, Having a good team work, Self motivated, and hard worker",https://glints.com/id/opportunities/jobs/management-trainee-pkl/ca7735f6-fc72-4392-ab94-903eb6b199f5?utm_referrer=explore
gl554,Engineering,Yoga Searcher Bali,Good Personality,"Kuta, Badung, Bali, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Good Personality, Good Teamwork, Good Communication Skills",SMA/SMK,"Have minimum of 6 months training experience, Good appearance, good personality & positive attitude, Based in Bali, live near Uluwatu is preffered., Able to join immediately",https://glints.com/id/opportunities/jobs/engineering/8e239a53-31c2-4f56-bc6e-13a64d4d2ef7?utm_referrer=explore
gl555,Waitress,Yoga Searcher Bali,Good Personality,"Kuta, Badung, Bali, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Good Personality, Good Teamwork, Good Communication Skills",SMA/SMK,"Female with max. 30 years old, Fluent in english both verbal and written, Have minimum of 6 months training experience, Good appearance, good personality & positive attitude, Based in Bali, live near Uluwatu is preffered., Able to join immediately",https://glints.com/id/opportunities/jobs/waitress/8b7e0cd5-07a4-42a2-8540-4029c9d6f7a4?utm_referrer=explore
gl556,Reception,Yoga Searcher Bali,Fluent English,"Kuta, Badung, Bali, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,Tidak ditampilkan,SMA/SMK,"Female with max. 30 years old, Fluent in english both verbal and written, Have minimum of 6 months training experience, Good appearance, good personality & positive attitude, Based in Bali, live near Uluwatu is preffered., Able to join immediately",https://glints.com/id/opportunities/jobs/reception/58799f21-de2c-4c74-8c50-677e55c7766a?utm_referrer=explore
gl557,Engineering (DW),La Walon Hotel,Good Personality,"Kuta, Badung, Bali, Indonesia",Harian,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,Tidak ditampilkan,SMA/SMK,"Well groomed, good personality, good attitude, Good communication, Able to join immediately",https://glints.com/id/opportunities/jobs/engineering-dw/d39fa665-648b-480e-93ff-555709fd3e2e?utm_referrer=explore
gl558,Waiter/Waitress (DW),La Walon Hotel,Good Personality,"Kuta, Badung, Bali, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Good Personality, Good Teamwork, Good Communication Skills",SMA/SMK,"Well groomed, good personality, good attitude, Good communication, Able to join immediately",https://glints.com/id/opportunities/jobs/waiter-waitress-dw/27c48621-a971-45ff-a930-0ec1d56819ee?utm_referrer=explore
gl559,Housekeeping (DW),La Walon Hotel,Good Personality,"Kuta, Badung, Bali, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Good Personality, Good Teamwork, Good Communication Skills",SMA/SMK,"Well groomed, good personality, good attitude, Good communication, Able to join immediately",https://glints.com/id/opportunities/jobs/housekeeping-dw/15efc2d7-ce82-4ae0-ace9-f9d7bb026f10?utm_referrer=explore
