id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link,Link_img
kt27,"Rider Team Lead - SPX Express (Koto Tangah, Padang)",SPX Express,Tidak ditampilkan,"Kota Padang, Sumatra Barat",Kontrak,Kerja di lapangan,Tidak ditampilkan,Tidak ada ketentuan,Logistics,SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/rider-team-lead-spx-express-koto-tangah-padang-lzaj,/icons/ic-company.svg;
kt28,Area Sales Manager (West Java),PT Integritas Dinamika Indonesia,Tidak ditampilkan,"Kabupaten Bandung, Jawa Barat",Full Time,Kerja di kantor,Tidak ditampilkan,Minimal 3 Tahun,"B2B Sales Management, B2B Sales Development",S1,,https://kerja.kitalulus.com/id/lowongan/detail/area-sales-manager-west-java-dmjv,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F9e0eeb45-e9b0-4bab-a65f-90022538ed00%2Fthumbnail&w=96&q=75;
kt29,Kurir Motor Shopee Xpress Denpasar Timur,PT Cipar Sukses Bersama,Tidak ditampilkan,"Kota Denpasar, Bali",Full Time,Kerja di lapangan,Rp 10.000.000,Tidak ada ketentuan,"Driving Skills, Logistics Mapping, Vehicle, Vehicle Safety",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/kurir-motor-shopee-xpress-denpasar-timur-sljh,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Ffc0f14c9-ba5c-4034-c913-6a6ca2a8b000%2Fthumbnail&w=96&q=75;
kt30,Kurir Motor Shopee Xpress Denpasar Utara,PT Cipar Sukses Bersama,Tidak ditampilkan,"Kota Denpasar, Bali",Full Time,Kerja di lapangan,Rp 10.000.000,Tidak ada ketentuan,"Driving Skills, Logistics Mapping, Vehicle, Vehicle Safety",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/kurir-motor-shopee-xpress-denpasar-utara-gn1p,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Ffc0f14c9-ba5c-4034-c913-6a6ca2a8b000%2Fthumbnail&w=96&q=75;
kt31,Sortation Center Lead - SPX Express (Kab. Kubu Raya),SPX Express,Tidak ditampilkan,"Kabupaten Kubu Raya, Kalimantan Barat",Full Time,Kerja di lapangan,Tidak ditampilkan,Minimal 4 Tahun,"Leadership, Distribution and Logistics Management, Active Communication, Understanding of warehouse management",D3/D4,,https://kerja.kitalulus.com/id/lowongan/detail/sortation-center-lead-spx-express-kab-kubu-ray-c0ch,/icons/ic-company.svg;
kt32,Crew Store - Blitar,Shipper Indonesia,Tidak ditampilkan,"Kota Blitar, Jawa Timur",Part Time,Kerja di kantor,Rp 2.659.024,Tidak ada ketentuan,"Hospitality, Food and Beverage Handling, Adaptability to Customer Service Needs, Attention to Detail Skills, Adaptability",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/crew-store-blitar-byft,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F48b8e235-7937-4712-a2f1-11459c0c1900%2Fthumbnail&w=96&q=75;
kt33,KITCHEN TOKO KOPI PADMA MALANG,PT Triasa Tunas Tangguh,Tidak ditampilkan,"Kota Malang, Jawa Timur",Full Time,Kerja di kantor,Tidak ditampilkan,Minimal 1 Tahun,"Cooking, Cooking Food",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/kitchen-toko-kopi-padma-malang-njwj,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Fe5992ee5-aeb5-4a1f-fcc3-c6b70f0ed000%2Fthumbnail&w=96&q=75;
kt34,Cake Decorator / Dekorator Kue,Mint Patisserie,Tidak ditampilkan,"Jakarta Barat, DKI Jakarta",Kontrak,Kerja di kantor,Rp 4.000.000,Tidak ada ketentuan,Drawing,SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/cake-decorator-dekorator-kue-g0i2,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F532f621a-49e3-4c58-4d97-6480c253a800%2Fthumbnail&w=96&q=75;
kt35,Terapis kesehatan ( Jordan ) Penempatan Jatim,Nakamura Holistic Therapy,Tidak ditampilkan,"Kota Kediri, Jawa Timur",Full Time,Kerja di kantor,Rp 2.800.000,Tidak ada ketentuan,"Abdominal Massage, Aesthetic Treatments, Acupressure",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/terapis-kesehatan-jordan-penempatan-jatim-ue7d,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F7c0ee143-a024-43b5-0811-f96aac021e00%2Fthumbnail&w=96&q=75;
kt36,Direct Sales Agent - Palu,OTO.com,Tidak ditampilkan,"Kota Palu, Sulawesi Tengah",Freelance,Kerja di rumah,Rp 20.000.000,Minimal 1 Tahun,2D Animation,SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/direct-sales-agent-palu-xbz2,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F039ea20d-2847-4a97-9aaa-f782b6567d00%2Fthumbnail&w=96&q=75;
kt37,Pembelian / Purchasing,PT Anda Kenyang Kami Senang,Tidak ditampilkan,"Kota Pasuruan, Jawa Timur",Full Time,Kerja di kantor,Rp 2.000.000,Minimal 1 Tahun,"Purchase Management, Food Purchasing Management, Beverage Purchasing Management, Purchasing Management",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/pembelian-purchasing-xa35,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F1e817882-889a-4286-df83-0be6a1d6a900%2Fthumbnail&w=96&q=75;
kt38,Admin Sales - Penempatan Kendari,Kumala Group,Tidak ditampilkan,"Kota Kendari, Sulawesi Tenggara",Kontrak,Kerja di kantor,Rp 4.000.000,Minimal 1 Tahun,"Administration, Administrative File Compilation, Administrative Report Compilation, Administrative Document Compilation, Accurate Data Storage, Administrative System, Analysis, Administrative Skills, Administrative Management",D3/D4,,https://kerja.kitalulus.com/id/lowongan/detail/admin-sales-penempatan-kendari-odfk,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Fda771407-fffa-49ea-2dc8-4061fc2b7e00%2Fthumbnail&w=96&q=75;
kt39,Mekanik Mobil (Denpasar),Kumala Group,Tidak ditampilkan,"Kota Denpasar, Bali",Full Time,Kerja di kantor,Tidak ditampilkan,Minimal 1 Tahun,"Adapting to Change, Adaptability, Accuracy",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/mekanik-mobil-denpasar-8ynv,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Fda771407-fffa-49ea-2dc8-4061fc2b7e00%2Fthumbnail&w=96&q=75;
kt40,SPG Asuransi HP,PT Dutagriya Sarana,Tidak ditampilkan,"Kabupaten Sleman, DI Yogyakarta",Kontrak,Kerja di kantor,Tidak ditampilkan,Minimal 1 Tahun,Active Listening,SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/spg-asuransi-handphone-iyi9,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Fe2828ecc-b6a7-403e-8af6-4737e5930700%2Fthumbnail&w=96&q=75;
kt41,CREW TOKO (SPG/SPB/PRAMUNIAGA/KASIR),Toko Oleh Oleh Venus,Tidak ditampilkan,"Kabupaten Purwakarta, Jawa Barat",Full Time,Kerja di lapangan,Rp 7.000.000,Tidak ada ketentuan,Retail,SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/crew-toko-spgspbpramuniagakasir-l4wl,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F7da69aeb-a6a9-4f5f-fe8e-9d91d108da00%2Fthumbnail&w=96&q=75;
