Company,Job_title,Location,Salary,Work Type,Skill,Job_Desc,Links
PT. David Roy Indonesia,Sales Promotion Girl,"Kalideres, Jakarta Barat, DKI Jakarta, Indonesia","Rp4,5jt-Rp6,5jt",Penuh Waktu,"Public Speaking, Sales, Good Communication Skills","Perempuan, Max 35 tahun, Mempunyai pengalaman dibidang terkait minimal 1 tahun.",https://glints.com/id/opportunities/jobs/sales-promotion-girl/4567fa6a-c5f6-4b9d-a4e7-7752bafc041e?utm_referrer=explore
PT. Wowin Purnomo Putera (KC Bogor),Supervisor,"Cileungsi, Kab. Bogor, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Supervisor, Sales Supervisor, Area Sales Supervisor","Pria, maksimal usia 35 tahun, Memiliki SIM A yang mash berlaku, Berpengalaman minimal 2 tahun sebagai SPV FMCG, Komunikatif, analis dan bertanggung jawab, Menguasai area Bogor, Cileungsi, Bekasi, Jonggol, Depok dan sekitarnya, Memiliki jiwa pemimpin",https://glints.com/id/opportunities/jobs/supervisor/194ce628-c019-48e2-9b38-53cd23ae9086?utm_referrer=explore
PT. Wowin Purnomo Putera (KC Bogor),Sales Area,"Cileungsi, Kab. Bogor, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Pria / wanita, usia 22 - 30 tahun, Pendidikan minimal SMA/SMK, Berorientasi pada target, Memiliki kemampuan komunikasi yang baik, Berpengalaman dalam dunia sales FMCG lebih diutamakan, Jujur, teliti dan bertanggung jawab",https://glints.com/id/opportunities/jobs/sales-area/c9164e0f-df95-4fce-80da-a5255aa7bd85?utm_referrer=explore
Macaroni Cuck,Supervisor Outlet Macaroni Cuck,"Pal Merah, Jakarta Barat, DKI Jakarta, Indonesia","Rp3,5jt-Rp4,5jt",Penuh Waktu,"Memiliki Kemampuan Komunikasi Yang Baik, Statistical Data Analysis, Data Analysis",,https://glints.com/id/opportunities/jobs/supervisor-outlet-macaroni-cuck/b6fd7ac9-b4a1-4b2e-9903-d3f7bcc3e778?utm_referrer=explore
PT. TAKO ANUGERAH KOPORASI,Marketing,"Pabean Cantikan, Surabaya, Jawa Timur, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Persuasive Communication, Target Oriented, Interpersonal Skills, Marketing, Persuasive Selling, Analytical Skills, Negosiasi","Pendidikan minimal Diploma, Memiliki pengalaman minimal 3 tahun di bidang pemasaran terutama dibidang logistik atau freight forwarding akan lebih diutamakan, Memiliki kemampuan komunikasi & negosiasi yang kuat, Terbiasa bekerja dengan target dan mampu bekerja secara mandiri maupun dalam tim, Menguasai Microsoft Office (Ms. Excel, Ms. Words, Power Point)",https://glints.com/id/opportunities/jobs/marketing/9c31fa34-08ad-45ae-8973-1219fa724557?utm_referrer=explore
PT. TAKO ANUGERAH KOPORASI,Marketing (Area Manado),"Wanea, Manado, Sulawesi Utara, Indonesia","Rp4jt-Rp5,5jt",Penuh Waktu,"Marketing Communications, Marketing Management, B2B Marketing, B2b Business Strategies, Marketing Strategy","Pendidikan minimal Diploma, Memiliki pengalaman minimal 3 tahun di bidang pemasaran terutama dibidang logistik atau freight forwarding akan lebih diutamakan, Memiliki kemampuan komunikasi & negosiasi yang kuat, Terbiasa bekerja dengan target dan mampu bekerja secara mandiri maupun dalam tim, Penempatan: Wanea (Manado)",https://glints.com/id/opportunities/jobs/marketing-area-manado/1bc43b12-49d0-463b-b897-0f80e0ac9d1c?utm_referrer=explore
eVantage HR Pte. Ltd,Human Resources Executive (Manager),"Batam Kota, Batam, Kepulauan Riau, Indonesia",SGD700-SGD1rb,Penuh Waktu,,"Supporting the business units or clients in coordinating and executing various HR functions and activities, including:, Recruitment and Selection, New Hire Onboarding, Learning & Development, Compensation & Benefits, Performance Review, Employee Conflict Management, Employment Statutory Advice",https://glints.com/id/opportunities/jobs/human-resources-executive-manager/ea112284-c8d1-4670-b143-db068b5329d7?utm_referrer=explore
Sceneless Production,Creative Writer,"Kedunghalang, Bogor, Jawa Barat, Indonesia",Rp3jt-Rp5jt,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/creative-writer/fad35477-9ef3-48e6-8054-9e1dcd6bfed3?utm_referrer=explore
SATU ATAP CORP,Staff HumanResourcess Development,"Kapanewon Kasihan, Bantul, DI Yogyakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/staff-humanresourcess-development/399d5a51-706e-458b-b5f9-ea4de7875081?utm_referrer=explore
HIGGZ ACADEMIA TECHNOLOGY PTE. LTD.,Mathematical annotation,"Cempaka Putih, Jakarta Pusat, DKI Jakarta, Indonesia",USD200-USD400,Paruh Waktu,,,https://glints.com/id/opportunities/jobs/mathematical-annotation/ecaf57ca-8811-4be0-bee6-414ea3457945?utm_referrer=explore
Pt Canny Elevator Indonesia,Importir & Eksportir ( ADMIN IMPORT EXPORT ),"Menteng, Jakarta Pusat, DKI Jakarta, Indonesia","Rp4,5jt-Rp6jt",Penuh Waktu,,,https://glints.com/id/opportunities/jobs/importir-and-eksportir-admin-import-export/1ce5f94b-b9c4-4f1f-951e-7849adca5520?utm_referrer=explore
SATU ATAP CORP,Junior Brand Manager,"Kemantren Tegalrejo, Yogyakarta, DI Yogyakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/junior-brand-manager/37004424-ca7e-442a-a6fe-1a7e0f34ed54?utm_referrer=explore
HIGGZ ACADEMIA TECHNOLOGY PTE. LTD.,Mathematical Annotation(Remote),"Kemayoran, Jakarta Pusat, DKI Jakarta, Indonesia",USD200-USD400,Magang,"English, Microsoft Excel, Mathematics",,https://glints.com/id/opportunities/jobs/mathematical-annotationremote/f7c6d60d-d11d-413f-9760-f78912de3ddc?utm_referrer=explore
HIGGZ ACADEMIA TECHNOLOGY PTE. LTD.,Math Teacher,"Simpang Ulim, Aceh Timur, Nanggroe Aceh Darussalam, Indonesia",USD200-USD400,Paruh Waktu,"Teaching Maths, English, Bahasa Indonesia",,https://glints.com/id/opportunities/jobs/math-teacher/954433fd-86ae-4b1f-839a-2b258a09927e?utm_referrer=explore
HIGGZ ACADEMIA TECHNOLOGY PTE. LTD.,Solve math questions online,"Kemayoran, Jakarta Pusat, DKI Jakarta, Indonesia",USD200-USD400,Magang,"English, Bahasa Indonesia, Mathematics",,https://glints.com/id/opportunities/jobs/solve-math-questions-online/f73e94bc-cc2f-4b8e-ade0-cbf75701f81f?utm_referrer=explore
HIGGZ ACADEMIA TECHNOLOGY PTE. LTD.,Math Teacher(Remote),"Rungkut, Surabaya, Jawa Timur, Indonesia",USD200-USD400,Kontrak,,,https://glints.com/id/opportunities/jobs/math-teacherremote/a3c39694-c81a-4665-8298-b97c246fa410?utm_referrer=explore
HIGGZ ACADEMIA TECHNOLOGY PTE. LTD.,Calculus Solver (Remote),"Langkaplancar, Pangandaran, Jawa Barat, Indonesia",USD200-USD500,Paruh Waktu,,,https://glints.com/id/opportunities/jobs/calculus-solver-remote/f3530dcb-3117-4912-971a-7da1c9360d7d?utm_referrer=explore
CV Rabbani Asysa,Store Manager - Jabodetabek,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta, Indonesia",Rp5jt-Rp6jt,Penuh Waktu,"Marketing, Sales, Retail Sales",,https://glints.com/id/opportunities/jobs/store-manager-jabodetabek/77cb5166-fb15-4238-95b2-ecf4e30fee25?utm_referrer=explore
PT Telmark Integrasi Indonesia,Staff Telemarketing,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia","Rp3,8jt",Kontrak,,"Menghubungi Hingga Follow Up Calon Client Menggunakan Telepon, Memberikan Informasi Secara Akurat Terkait dengan Produk ke Calon Client, Menjalin Hubungan dengan Baik dengan Client, Melakukan Negosiasi Kepada Calon Client",https://glints.com/id/opportunities/jobs/staff-telemarketing/f78076b7-f38b-4dc3-ba2e-17330e0191e6?utm_referrer=explore
PT. Orang Informasi Teknologi,Full Stack Engineer,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Rp8jt-Rp10jt,Kontrak,,,https://glints.com/id/opportunities/jobs/full-stack-engineer/49dc42ba-2755-47e5-a386-1b66a3828318?utm_referrer=explore
Yourglasses Indonesia,Asisten Refraksi Optisi,"Beji, Depok, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Pelayanan pelanggan, Optometrist, Sales",,https://glints.com/id/opportunities/jobs/asisten-refraksi-optisi/d1edbd81-85fd-43de-9921-8ecc4d6dfc2e?utm_referrer=explore
Yourglasses Indonesia,Asisten RO (Bogor),"Bogor Tengah, Bogor, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Komunikatif, Target Oriented, Jujur Dan Pekerja Keras","Pria/Wanita (muslim/muslimah berhijab), Minimal pengalaman 2 tahun di Optik, Minimal ijazah SMA sederajat, Memiliki dasar pengetahuan dunia optik, Dapat melakukan pemeriksaan mata semua umur, Dapat mengoperasikan mesin facet, Dapat menggunakan alat alat optik, Memiliki keterampilan pelayanan optisi kacamata, Jujur, bertanggung jawab, komunikatif dan target oriented, Bersedia bekerja shift, hari libur & weekend, Berdomisili bogor",https://glints.com/id/opportunities/jobs/asisten-ro-bogor/44112f58-9793-44b1-a4a9-a88e7dc5f84c?utm_referrer=explore
PT Penta Artha Impressi,Finance Internship,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Magang,"Finance, Administration, Admin Finance",,https://glints.com/id/opportunities/jobs/finance-internship/e4145274-bd47-457b-ab46-12afec7670b5?utm_referrer=explore
Yourglasses Indonesia,Refraksi Optisi (DEPOK),"Beji, Depok, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Pria/Wanita (muslim/muslimah berhijab), Min D3 Refraksi Optisi, Min pengalaman 1 tahun di optik, Memiliki dasar pengetahuan dunia optik, Dapat melakukan pemeriksaan mata semua umur, Dapat mengoperasikan mesin facet, Dapat menggunakan alat alat optik, Memiliki keterampilan pelayanan optisi kacamata, Jujur, bertanggung jawab, komunikatif dan target oriented, Bersedia bekerja shift, hari libur & weekend, Domisili Depok",https://glints.com/id/opportunities/jobs/refraksi-optisi-depok/0ae03a0a-a7a2-4aba-8b6a-285561944c96?utm_referrer=explore
Yourglasses Indonesia,Refraksi Optisi (Bogor),"Bogor Tengah, Bogor, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Komunikatif, Target Oriented, Jujur Dan Pekerja Keras","Pria/Wanita (muslim/muslimah berhijab), Minimal pengalaman 1 tahun di Optik, Minimal D3 Refraksi Optisi, Memiliki dasar pengetahuan dunia optik, Dapat melakukan pemeriksaan mata semua umur, Dapat mengoperasikan mesin facet, Dapat menggunakan alat alat optik, Memiliki keterampilan pelayanan optisi kacamata, Jujur, bertanggung jawab, komunikatif dan target oriented, Bersedia bekerja shift, hari libur & weekend, Berdomisili bogor",https://glints.com/id/opportunities/jobs/refraksi-optisi-bogor/9fd7141e-8857-4ce9-898b-9b33d5922475?utm_referrer=explore
PT. Devis Jaya,Account Executive Advertising,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia","Rp5,5jt-Rp7jt",Penuh Waktu,"Penjualan, Pemasaran & Promosi, Customer Service Oriented",,https://glints.com/id/opportunities/jobs/account-executive-advertising/a030724a-9226-4643-8b18-30db43eeb4a0?utm_referrer=explore
Cv Naresy Indonesia,Visa Admission Supervisor,"Denpasar Utara, Denpasar, Bali, Indonesia","Rp3,8jt",Penuh Waktu,"Computer Operation, Fluent In English Both Oral And Written, Good Communication Skills, Administration","Have good English both verbal and written is a must, Familiar with the admissions process with a degree in school counseling or an education-related field., Excellent skill in computer and data base system., Minimum 2 years’ experience as Admission., Education background minimum Bachelor Degree in any related field.",https://glints.com/id/opportunities/jobs/visa-admission-supervisor/4eb84bd1-0b0e-4864-9afa-1aeae0504c3e?utm_referrer=explore
Zglow Clinic,MANAGER KLINIK KECANTIKAN,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Marketing, Marketing Management, Social Media Marketing, Digital Marketing, Sales Marketing","Zglow Clinic Kemang, Zglow Clinic Bekasi, Zglow Clinic Cipinang, Zglow Clinic Duren Sawit, Zglow Clinic Ciputat, Zglow Clinic Depok, Zglow Clinic Bogor, Zglow Clinic Serang, Zglow Clinic Lampung, Zglow Clinic Yogyakarta, Zglow Clinic Bandung, Zglow Clinic Balikpapan, Zglow Clinic Samarinda",https://glints.com/id/opportunities/jobs/manager-klinik-kecantikan/687a4e72-1021-45f3-9f7f-91c5dc2c3ed3?utm_referrer=explore
LaluasaTech,Senior Full Stack Developer,"Arcamanik, Bandung, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Working closely with product managers to understand the requirements, propose solutions, and coordinate dependencies our clients, Engage in service capacity and demand planning, software performance analysis, tuning, and optimization, Collaborate with product and experience teams to finalize feature specifications, build prototypes, and design experiments., Participate in code developing and design reviews to maintain our high development standards, Attending daily and weekly status reports with the team and client.",https://glints.com/id/opportunities/jobs/senior-full-stack-developer/3b0540b9-ade4-488d-8257-93725e70db15?utm_referrer=explore
PT. Triagri Jaya Lestari,Sales Engineer,"Sukolilo, Surabaya, Jawa Timur, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Negosiasi Dan Presentasi, Telesales, Teknik Elektro, Teknik Mesin, Strong Communication And Interpersonal Skills, Sales Marketing","Mencari dan mengidentifikasi secara online dan offline : data prospek potensial di bidang industrial atau retail (B2B dan B2C)., Menghubungi prospek potensial agar dapat berdiskusi kebutuhan customer terhadap produk dan jasa seputar gearbox, gear mesin, sparepart mesin industri., Mempromosikan produk dan layanan perusahaan kepada pelanggan potensial secara offline dan online., Mencapai target yang ditentukan perusahaan baik dalam hal promosi dan penjualan., Membuat analisa market, laporan perkembangan promosi &  penjualan, menyampaikan ide strategi pencapaian target kepada management.",https://glints.com/id/opportunities/jobs/sales-engineer/078efe32-9c96-461b-b933-98f89a81c5a4?utm_referrer=explore
