Company,Job_title,Location,Salary,Work Type,Skills,Descriptions,Links
PT. Mganik Grup Mitra Indonesia,Admin Brand GOLO,"Cipondoh, Tangerang, Banten, Indonesia",Rp4jt-Rp5jt,Penuh Waktu,"Multitasking, Good Communication Skills, Administration",,https://glints.com/id/opportunities/jobs/admin-brand-golo/3f9fe6e3-7829-4889-8b0f-fea13244bd92?utm_referrer=explore
PunyaLink,Assistant Sales,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Pengalaman magang minimal 3 bulan sebagai Content-Social Media Spesialist/Business Development, Active in IG & Tiktok. (Linkedin is plus), Usia 20-30 tahun, Ambitious and target oriented, Menyukai kegiatan Sales/Marketing/Bisnis,, Hybrid work in West Jakarta, Gender - Female!",https://glints.com/id/opportunities/jobs/assistant-sales/f1071267-0f53-474c-87a6-4728c2772f8c?utm_referrer=explore
Pt Vista Jaya Raya,IT Support Cabang Semarang,"Semarang Tengah, Semarang, Jawa Tengah, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"IT Hadware Support, Software Installation, Computer Maintenance","Memantau dan memelihara sistem dan jaringan komputer, Mengatasi masalah sistem dan masalah jaringan serta mendiagnosis dan menyelesaikan kesalahan perangkat keras atau perangkat lunak, Mengganti komponen sesuai kebutuhan, Mendiagnosis dan menyelesaikan masalah perangkat keras dan perangkat lunak teknis, Menginstal dan mengkonfigurasi sistem operasi dan aplikasi perangkat keras dan komputer",https://glints.com/id/opportunities/jobs/it-support-cabang-semarang/3f319687-69a5-495d-b8e6-9e7d2ae9f88e?utm_referrer=explore
Recreate Studio,Personal Assistant,"Serpong, Tangerang Selatan, Banten, Indonesia",Rp2jt-Rp4jt,Penuh Waktu,"Interpersonal Skills, Team Leadership, Detailed Oriented, Event Organizer, Organization Skills, Administrative Assistance, Good Teamwork, Assistant, Personal Assistant",,https://glints.com/id/opportunities/jobs/personal-assistant/64a16ea4-f22a-49f5-8f91-54a5d44cfeb2?utm_referrer=explore
Chachikey,Kasir,"Puri, Mojokerto, Jawa Timur, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Wanita, Usia Maksimal 27 Tahun, Pendidikan Minimal SMA/Sederajat, Belum Menikah, Jujur dan Semangat Bekerja, Tidak Sedang Kuliah, Domisili Mojokerto, Mempunyai Pengalaman Kasir Lebih diutamakan",https://glints.com/id/opportunities/jobs/kasir/a66130f7-31da-49b3-ba71-84581920eef9?utm_referrer=explore
Cv. Carya Askara Texindo,E COMMERCE MANAGER,"Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Rp2jt-Rp5jt,Penuh Waktu,"Corel Draw, Canvas, CapCut Video Editor, Instagram Ads, Facebook Ads, Adobe Photoshop, tiktok ads","Bertanggung jawab dalam merancang strategi konten dan melaksanakan strategi konten, Mendistribusikan konten di platform media sosial, Menyusun strategi pemasaran konten., Mengelola akun media sosial perusahaan., Memonitor dan merespons pesan, komentar, dan pertanyaan dari pengikut media sosial., Membuat laporan dan analisis tentang kinerja media sosial, serta memberikan rekomendasi untuk perbaikan., membantu menarik minat customer",https://glints.com/id/opportunities/jobs/e-commerce-manager/6e86ce88-fda0-415b-82fe-e19327370646?utm_referrer=explore
Bebek Pondok Galih,RESTAURANT CREW (CASUAL),"Kapanewon Ngaglik, Sleman, DI Yogyakarta, Indonesia",Perusahaan tidak menampilkan gaji,Harian,"Cleaning, Hospitality and Service, Koordinasi Tim","Diutamakan laki-laki minimal usia 18 tahun, Pendidikan minimal lulusan SMA/SMK, Komunikatif, ramah, dan sopan, Mempunyai pengalaman di resto keluarga akan menjadi nilai tambah, Diutamakan yang berdomisili di Yogyakarta, Penempatan area : Sleman, Yogyakarta",https://glints.com/id/opportunities/jobs/restaurant-crew-casual/f53bf116-ed65-4df5-835c-cc60f493e9bd?utm_referrer=explore
Homprep,Interior Designer,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Interior Designer, Interior Design, Interior Architecture",,https://glints.com/id/opportunities/jobs/interior-designer/772328c6-07fe-4df3-89d7-0f85f7b86ec2?utm_referrer=explore
Smile Consulting Indonesia,Admin Psikologi,"Pal Merah, Jakarta Barat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Psychological Assessment, Bachelor Psychology, Observation And Interview, Office Administration, Psychological Tests Administration",,https://glints.com/id/opportunities/jobs/admin-psikologi/9923c814-7585-4fd8-9a83-460068e504c5?utm_referrer=explore
Homprep,Sales Consultant,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Sales Management, Sales, Sales Marketing","Reach out to potential clients to inform them about our products and services., Sell the company's products and services., Complete all paperwork relating to a sale., Build and maintain relationships with clients., Meet the sales target.",https://glints.com/id/opportunities/jobs/sales-consultant/1205ae63-24ef-418d-8447-028b8f3f1682?utm_referrer=explore
PT.Progress Citra Sempurna,Team Leader FMCG,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta, Indonesia","Rp4,5jt-Rp4,9jt",Penuh Waktu,"Leadership, Strong Leadership Skills, Berkomunikasi Dengan Baik, Kanvasing, Microsoft Office",,https://glints.com/id/opportunities/jobs/team-leader-fmcg/2d9fd566-0842-45c5-a912-b487bcdb61f2?utm_referrer=explore
PT. International Leather Works,Credit Marketing Officer,"Klapanunggal, Bogor, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Leadership, keterampilan manajemen waktu, Berkomunikasi Dengan Baik, Marketing Strategy, Sales Marketing","Wanita/Pria, Usia maksimal 35 tahun, Pendidikan minimal SMA/D3/S1, Pengalaman minimal 2 tahun sebagai CMO diperusahaan bidang pembiyaan (leasing), Berjiwa marketing atau sales, Memiliki koneksi yang luas, Dapat bekerja dibawah tekanan, target oriented dan market knowledge, Memiliki SIM (A/C) aktif, Penempatan Bogor, Jawa Barat",https://glints.com/id/opportunities/jobs/credit-marketing-officer/d38493fe-a8d3-42ad-9021-30d9e998e674?utm_referrer=explore
Lets Move Indonesia,Real Estate Consultant Bali,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Develop and execute marketing strategies to promote the company's real estate listings., Create and manage advertising campaigns, including online, print, and social media., Source new properties for the company's listings., Network with other real estate professionals and industry organizations.",https://glints.com/id/opportunities/jobs/real-estate-consultant-bali/0e949114-b3c7-488f-a0a6-f687a47bc1a8?utm_referrer=explore
Pt. Wahana Internet Nusantara,Mobile Apps Developer,"Karawang Barat, Karawang, Jawa Barat, Indonesia","Rp4,6jt",Penuh Waktu,"JavaScript, MySQL, SQLite, Kotlin",,https://glints.com/id/opportunities/jobs/mobile-apps-developer/127a2a31-498b-4c4f-add1-e5cc59dc1836?utm_referrer=explore
PT Cahaya Pengajaran Abadi,Storeman - Site Mandarin Speaker,"Kemayoran, Jakarta Pusat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/storeman-site-mandarin-speaker/b0bb484c-48ab-4d68-ab1e-64511ff12b39?utm_referrer=explore
Lets Move Indonesia,Graphic Designer (Social Media Specialist),"Kuta, Badung, Bali, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Manage the Consultants' social media (Instagram & LinkedIn), Helping with flyers and event handouts, Assisting the videographer with Instagram / LinkedIn video content, Creating branding materials for LetsMoveIndonesia, including social media, posters, flyers, and advertising materials, Assisting real estate consultant with social media branding materials",https://glints.com/id/opportunities/jobs/graphic-designer-social-media-specialist/8e7a88ef-171e-43c9-ab70-a9aec5c8c3e6?utm_referrer=explore
PT Cahaya Pengajaran Abadi,Storeman - Site Mandarin Speaker -Kalimantan,"Balikpapan Kota, Balikpapan, Kalimantan Timur, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/storeman-site-mandarin-speaker-kalimantan/82a84af8-be5d-4407-a087-52aa38098183?utm_referrer=explore
PT Niramas Utama (INACO),Sales and Marketing Staff (Vending Machine Sales),"Tambun Selatan, Bekasi, Jawa Barat, Indonesia",Rp4jt-Rp5jt,Penuh Waktu,,"Mencari lokasi yang strategis untuk penempatan Vending Machine, Melakukan distribusi Vending Machine ke Institusi, Hospital, Pabrik dan lain-lain, Memonitor aktivitas pencapaian penjualan / Sell Out Vending Machine, Update harga jual di Vending Machine dan cek kerusakan Vending Machine, Memantau aktifitas kompetitor terkait harga, promo dan lain-lain, Menjaga hubungan baik dengan customer, Melakukan kegiatan administrasi sales",https://glints.com/id/opportunities/jobs/sales-and-marketing-staff-vending-machine-sales/3637c9bc-d290-4530-b35d-309b88c577e3?utm_referrer=explore
Prestisa,Social Media Intern,"Bekasi Utara, Bekasi, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Magang,,"Job Description:, Create marketing strategies and campaigns by content ideas, budget planning, and implementation schedules., Promote products and services on various social media platforms., Create a marketing strategy on social media and run it through competitive research from the audience., Optimizing the company's social media platform to increase the viewers of corporate content., Generate and increase audience engagement, website traffic, and revenue by leveraging all aspects of digital marketing from social media., Requirements:, A final year student (with no more class to attend) or fresh graduates from a reputable university (any major)., , Significant experience as a TikTok creator, with knowledge of what performs well on the platform and what doesn't., Excellent knowledge of social media platforms (mostly TikTok)., Have the ability to create strong & engaging content., Creative & innovative, ability to perform independently., Positive attitude, detail and customer oriented with good multitasking and organisational ability., Demonstrated excellence in writing, proofreading, and editing., Able to work in Bekasi.",https://glints.com/id/opportunities/jobs/social-media-intern/e7b7f61f-d3a1-440b-aa66-84c12c66f2d4?utm_referrer=explore
Klinik Dermis,Perawat Estetik/Nurse (Rawamangun),"Pulogadung, Jakarta Timur, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Facial therapist, Jujur, teliti, dan rajin, Memiliki STR aktif",,https://glints.com/id/opportunities/jobs/perawat-estetik-nurse-rawamangun/a8f97c80-4af5-4851-97b3-987ac41736d8?utm_referrer=explore
CV CERGAS KREATIF KONSULTINDO,Desainer Grafis,"Semarang Tengah, Semarang, Jawa Tengah, Indonesia","Rp3,4jt-Rp3,5jt",Penuh Waktu,"Komunikatif, disiplin dan bertanggung jawab, Desain Grafis","Membuat dan merancang materi branding atau iklan, Membuat materi iklan cetak dan digital, Mengembangkan Visual Utama dan Materi Pendukung untuk Kampanye Pemasaran, Mendesain materi grafis, penjualan, dan pemasaran, misalnya EDM / Poster / Spanduk / Display Penjualan",https://glints.com/id/opportunities/jobs/desainer-grafis/810a38de-3c42-4153-aefe-5b416a59c127?utm_referrer=explore
CV CERGAS KREATIF KONSULTINDO,accounting,"Semarang Tengah, Semarang, Jawa Tengah, Indonesia","Rp3,5jt-Rp4jt",Penuh Waktu,,"Layanan Pajak dan Laporan Keuangan, Digital Marketing, Jasa Pembuatan PT, Jasa Pembuatan CV, Pendirian PMA (Penanaman Modal Asing), Pendirian Koperasi, Jasa Pendirian Yayasan dan Perkumpulan, Pendirian PT Perorangan, Pendirian Firma, Virtual Office",https://glints.com/id/opportunities/jobs/accounting/5af4181d-3a27-4b52-93b7-caad9001a0bf?utm_referrer=explore
KMG Production,Admin Staff,"Buduran, Sidoarjo, Jawa Timur, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Komputer Ms Office, Admin, Accounting, bekerjasama dengan tim","Wanita usia 18-25 Tahun, Belum menikah, Good Attitude, Dapat bekerjasama dengan tim, Paham Microsoft Office, Memiliki pengalaman di bidang Accounting, Melampirkan ijazah SD-SMA/SMK",https://glints.com/id/opportunities/jobs/admin-staff/99642935-f7a8-4969-b940-4e228aafd47f?utm_referrer=explore
Momolin Bakery,Social Media Strategist and Marketing,"Medan Satria, Bekasi, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Good Copywriting Skills, Handle Social Media, Good Communication Skills, Marketing Campaign, Basic Photo/video Editing, Storytelling, Content Strategy",,https://glints.com/id/opportunities/jobs/social-media-strategist-and-marketing/05e80242-c515-4d7f-9407-01f6ab1e01c2?utm_referrer=explore
Momolin Bakery,Content Creator,"Medan Satria, Bekasi, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Good Copywriting Skills, Handle Social Media, Good Communication Skills, Marketing Campaign, Basic Photo/video Editing, Storytelling, Content Strategy",,https://glints.com/id/opportunities/jobs/content-creator/26d9bc4f-2014-43da-8706-db9c3b98d033?utm_referrer=explore
PT Cahaya Pengajaran Abadi,Technical Mandarin Speaker - Makasar,"Makassar, Makassar, Sulawesi Selatan, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Chinese HSK 5, Interpersonal Skills, INDONESIA MAKASSAR, Fluent In Mandarin, Client Relations, Techinal Support, Good Communication Skills",,https://glints.com/id/opportunities/jobs/technical-mandarin-speaker-makasar/da25ee47-631e-4eea-aeff-5eb8f0153e53?utm_referrer=explore
Klinik Dermis,Frontline & Patient Relations (Kemang),"Mampang Prapatan, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Jujur, teliti, dan rajin, Front Liner, Rapih, Ms Office, Good Communication Skills",,https://glints.com/id/opportunities/jobs/frontline-and-patient-relations-kemang/c6d5bea1-6512-44bf-8391-52d7fc97a71c?utm_referrer=explore
PT Cahaya Pengajaran Abadi,Technical Mandarin Speaker - Jakarta,"Kemayoran, Jakarta Pusat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Chinese HSK 5, Interpersonal Skills, Fluent In Mandarin, Client Relations, Techinal Support, Good Communication Skills",,https://glints.com/id/opportunities/jobs/technical-mandarin-speaker-jakarta/dc7573d5-a4bd-406e-8a77-00b76c8fcfca?utm_referrer=explore
PT Sigma Global Teknologi,Android Developer,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia","Rp7,5jt-Rp8,5jt",Kontrak,"React Native, Objective-C, Kotlin Android, Android Java",,https://glints.com/id/opportunities/jobs/android-developer/1a1845ed-d85b-4f5a-934a-3341a92b05bf?utm_referrer=explore
PT Cahaya Pengajaran Abadi,Technical Mandarin Speaker - Makasar,"Makassar, Makassar, Sulawesi Selatan, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Chinese HSK 5, Interpersonal Skills, INDONESIA MAKASSAR, Fluent In Mandarin, Client Relations, Techinal Support, Good Communication Skills",,https://glints.com/id/opportunities/jobs/technical-mandarin-speaker-makasar/da25ee47-631e-4eea-aeff-5eb8f0153e53?utm_referrer=explore
Klinik Dermis,Frontline & Patient Relations (Kemang),"Mampang Prapatan, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/frontline-and-patient-relations-kemang/c6d5bea1-6512-44bf-8391-52d7fc97a71c?utm_referrer=explore
PT Cahaya Pengajaran Abadi,Technical Mandarin Speaker - Jakarta,"Kemayoran, Jakarta Pusat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Chinese HSK 5, Interpersonal Skills, Fluent In Mandarin, Client Relations, Techinal Support, Good Communication Skills",,https://glints.com/id/opportunities/jobs/technical-mandarin-speaker-jakarta/dc7573d5-a4bd-406e-8a77-00b76c8fcfca?utm_referrer=explore
PT Sigma Global Teknologi,Android Developer,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia","Rp7,5jt-Rp8,5jt",Kontrak,"React Native, Objective-C, Kotlin Android, Android Java",,https://glints.com/id/opportunities/jobs/android-developer/1a1845ed-d85b-4f5a-934a-3341a92b05bf?utm_referrer=explore
Pt Bionic Teknologi Indonesia,PROGRAMMER JAVA SPRING BOOT,"Tebet, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/programmer-java-spring-boot/1dd02313-d120-4f80-843d-4243c5c4e421?utm_referrer=explore
PT Solusi Nusantara Teredukasi,Staff Customer Service,"Bekasi Selatan, Bekasi, Jawa Barat, Indonesia","Rp2,5jt-Rp3,5jt",Penuh Waktu,,"Menangani pertanyaan pelanggan melalui telepon, email, atau media sosial dengan sopan dan profesional., Menyelesaikan masalah pelanggan dengan cepat dan efisien., Memberikan informasi produk, layanan, dan kebijakan perusahaan kepada pelanggan., Membangun hubungan yang baik dengan pelanggan dan meningkatkan kepuasan pelanggan., Melakukan tugas administratif terkait layanan pelanggan., Memberikan umpan balik dan saran kepada manajemen untuk perbaikan layanan pelanggan.",https://glints.com/id/opportunities/jobs/staff-customer-service/d6afac0c-7d87-4a18-b58a-eb0627db0870?utm_referrer=explore
Aegin Prima Solusi,Services Delivery Engineer,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Programming, IT Security, Linux, System Engineer, Data Analysis, Unix/linux Server, Scripting","S1 / Bachelor Degree in Computer Science, Technical, Engineering, Science, Mathematics,  Statistics, Electronics, Information Systems or related working experience, Proficient in English, Familiar with office suite software (MS Office, LibreOffice, etc.), Good communication, presentation, and interpersonal skills, Fresh graduate are welcome",https://glints.com/id/opportunities/jobs/services-delivery-engineer/a8802d1b-a443-46e3-8c91-8450e5d74b47?utm_referrer=explore
Aegin Prima Solusi,Service Delivery Engineer,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"S1 / Bachelor Degree in Computer Science, Technical, Engineering, Science, Mathematics,  Statistics, Electronics, Information Systems or related working experience, Proficient in English, Familiar with office suite software (MS Office, LibreOffice, etc.), Good communication, presentation, and interpersonal skills, Fresh graduate are welcome",https://glints.com/id/opportunities/jobs/service-delivery-engineer/b599312a-ea3f-4d62-9a25-45652fe860e2?utm_referrer=explore
PT Bayi Bunda Hebat,Bidan Studio Sidoarjo,"Waru, Sidoarjo, Jawa Timur, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Cepat Belajar Dan Mampu Menyesuaikan Diri Dengan Baik, Memiliki Kemampuan Komunikasi Yang Baik, Dapat Bekerja Individu Maupun Tim, Melayani Pelanggan","Bekerja secara mobile, Pendidikan wajib minimal D3 jurusan Kebidanan, Wanita, usia 21-33 tahun, Mampu berkomunikasi dengan baik, Memiliki sertifikat babyspa (menjadi nilai tambah), Bisa mengendarai sepeda motor, Fresh graduate atau berpengalaman, Memiliki integritas tinggi dan sikap kerja yang positif",https://glints.com/id/opportunities/jobs/bidan-studio-sidoarjo/5d182dae-3f9e-4272-a35c-713d15e074ba?utm_referrer=explore
PT Cahaya Pengajaran Abadi,Key Account Executive Mandarin Speakeri - Balik Papan,"Balikpapan Kota, Balikpapan, Kalimantan Timur, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Chinese HSK 5, Interpersonal Skills, Fluent In Mandarin, Client Relations, Key Account Management, Good Communication Skills",,https://glints.com/id/opportunities/jobs/key-account-executive-mandarin-speakeri-balik-papan/d72c1c4e-2609-4f1f-8c32-b5b5c93d1a3d?utm_referrer=explore
Propnex Bandung,Marketing Associate Kab Bandung,"Rancaekek, Bandung, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Paruh Waktu,"Marketing, Digital Marketing, Content Marketing",,https://glints.com/id/opportunities/jobs/marketing-associate-kab-bandung/bccf2399-85ff-4e42-b97f-fa3169b5ad75?utm_referrer=explore
Propnex Bandung,Marketing Associate Kota Bandung,"Babakan Ciparay, Bandung, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Paruh Waktu,,,https://glints.com/id/opportunities/jobs/marketing-associate-kota-bandung/288c18ae-2bae-4daf-9f97-f5f57ee1ba0e?utm_referrer=explore
Propnex Bandung,Marketing Associate KBB,"Ngamprah, Bandung Barat, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Marketing, Social Media Marketing, Digital Marketing",,https://glints.com/id/opportunities/jobs/marketing-associate-kbb/b5bbbbc5-7539-46e6-84c2-62631cef9bc5?utm_referrer=explore
Propnex Bandung,Marketing Associate Cimahi,"Cimahi Tengah, Cimahi, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Paruh Waktu,,,https://glints.com/id/opportunities/jobs/marketing-associate-cimahi/a210dd46-3ab3-4f3b-b6a5-ae5f383493c3?utm_referrer=explore
PT. CINTA KREASI KULINER INDONESIA,Barista,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia","Rp2jt-Rp2,5jt",Penuh Waktu,,,https://glints.com/id/opportunities/jobs/barista/7588c4ed-f64c-4cc1-a13d-7ea62d3b7649?utm_referrer=explore
Pt. Mixist Palamarta Indonesia,KOL Specialist,"Kapanewon Mlati, Sleman, DI Yogyakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"KOL Specialist, KOL Influencer Marketing, KOL Management","Communicate with industry professionals to create a strong network, Develop and manage influencer programs and attended influencers' events, Research, analyze, and approach (end-to-end execution) KOL talent / UGC Content Creator endorsement marketing strategy to deliver successful ongoing and future campaigns, Monitor all KOL talents whether all talents deliver content according to the agreement and ongoing campaigns, Create a professional/ proper deck or proposal for collaboration or any kind of marketing for pitching to externals, Prepare and make sure all KOL agreement documents, Perform other duties when needed",https://glints.com/id/opportunities/jobs/kol-specialist/b834230c-177a-4424-9230-dcc50403049f?utm_referrer=explore
PT Shell Infotek Indonesia (Shell Infotech),Solution Architect,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/solution-architect/7b53af6d-3eac-4dd3-bc39-419f4e160f14?utm_referrer=explore
PT Niramas Utama (INACO),Marketing Promotion Representative,"Teluk Betung Selatan, Bandar Lampung, Lampung, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Melakukan awareness produk INACO melalui kegiatan branding toko retail, Melakukan direct selling ke end user melalui kegiatan bazzar reguler, Memastikan display produk sesuai dengan standar, Memastikan display POSM terdisplay dengan baik, Menghasilkan NOO pada toko retail melalui kegiatan Blitz",https://glints.com/id/opportunities/jobs/marketing-promotion-representative/93868b34-0aab-4394-b6ba-ce629969e1da?utm_referrer=explore
PT. Langit Indonesia Berjangka,Staff Customer Service,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia","Rp3jt-Rp5,1jt",Penuh Waktu,"Rajin Bertanggung Jawab, Berpenampilan Menarik, mampu bekerja dibawah tekanan","Menangani pertanyaan pelanggan melalui telepon, email, atau media sosial dengan sopan dan profesional., Menyelesaikan masalah pelanggan dengan cepat dan efisien., Memberikan informasi produk, layanan, dan kebijakan perusahaan kepada pelanggan., Membangun hubungan yang baik dengan pelanggan dan meningkatkan kepuasan pelanggan., Melakukan tugas administratif terkait layanan pelanggan., Memberikan umpan balik dan saran kepada manajemen untuk perbaikan layanan pelanggan.",https://glints.com/id/opportunities/jobs/staff-customer-service/107701a2-03a6-4cac-abb5-5edb66203493?utm_referrer=explore
PT. Migo Commercial Indonesia,Sales Representative,"Cengkareng, Jakarta Barat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/sales-representative/f8bebd6f-15b5-4f5c-bef6-eb21f6225f90?utm_referrer=explore
Optimus Consulting (PT Diva Sukses Mulia),Professional Development Program,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/professional-development-program/83541262-f4c8-448f-bf8c-49a31f250342?utm_referrer=explore
Kin Outfit,Digital Marketing Specialist,"Cicendo, Bandung, Jawa Barat, Indonesia",Rp3jt-Rp4jt,Penuh Waktu,,"Analisis & membuat strategi campaign di social media dan  e-commerce, Menghubungi dan mengajak kerja sama KOL yang sesuai dengan brand, Membuat content feed & story untuk menaikan engagement dengan customer, Mencari dan mengajak kerja sama offline store untuk menjadi reseller, Mencari bazaar yang sesuai dengan brand",https://glints.com/id/opportunities/jobs/digital-marketing-specialist/ce4c9bff-9389-4f06-9749-eb1e15d6893b?utm_referrer=explore
PT Sigma Global Teknologi,IT Business Analyst - exp Finance Industry,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Rp9jt-Rp11jt,Kontrak,,,https://glints.com/id/opportunities/jobs/it-business-analyst-exp-finance-industry/2a42f0dc-b9ee-4180-8cdd-8b6ad84927aa?utm_referrer=explore
Pt Bionic Teknologi Indonesia,VUE JS DEVELOPER (JUNIOR LVL),"Tebet, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/vue-js-developer-junior-lvl/e1f87d32-a36d-47cf-8d5d-7a1c53240e9d?utm_referrer=explore
PT Visi Teliti Saksama,Backend Engineer,"Pasar Minggu, Jakarta Selatan, DKI Jakarta, Indonesia","Rp6,5jt-Rp7jt",Penuh Waktu,,,https://glints.com/id/opportunities/jobs/backend-engineer/a293c067-749c-4f96-ad11-de84a6d8d206?utm_referrer=explore
PT Cerdas Teknik Indonesia,Posisi Bidang Akuntansi & Keuangan Lainnya,"Kalibagor, Banyumas, Jawa Tengah, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Perpajakan, Akuntansi, Acoounting Officer",,https://glints.com/id/opportunities/jobs/posisi-bidang-akuntansi-and-keuangan-lainnya/62c0e6a9-c8da-4c0d-a1a8-787ff8079126?utm_referrer=explore
PT Sree International Indonesia,Sales and Marketing Intern,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Magang,,"Create domestic marketing analysis, map potential clients and customers, Identify business opportunities in the assigned market, Develop business development plan and strategy, Execute Sales and Marketing Plan as on-the-job training, Create articles for social media, Maintain a report daily and presentation twice a month",https://glints.com/id/opportunities/jobs/sales-and-marketing-intern/16ce3f97-177b-4a57-bc7a-2adcd0422722?utm_referrer=explore
PT Enviro Meditech Pratama,Application Specialist - In Vitro Diagnostics,"Padang Timur, Padang, Sumatera Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Study and comprehend products and their applications in detail, answering all inquiries regarding product details, components, and proper operation., Engage in communication with customers and manufacturers / suppliers regarding product and application., Maintain instruments function and continuity in installation bases through routine customer visits and customer info and data collection, Provide support for installation, trials, and other usage needs of products at customer sites., Conduct training sessions on product applications for customers and the team., Assist in resolving issues (troubleshooting) encountered by the team or customers in product applications., Provide support for events, promotions, and the launch of new products., Attend training, events, and workshops related to products and the field., Complete all tasks and achieve targets set by the Product Manager.",https://glints.com/id/opportunities/jobs/application-specialist-in-vitro-diagnostics/1853886c-554f-4a13-8bcf-0f65a064d1a1?utm_referrer=explore
PT Medika Jasa Utama (Global Doctor),DOKTER UMUM (ONSITE),"Kramatjati, Jakarta Timur, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Kontrak,"Medical Doctor, Accident and Emergency, Dokter Umum",,https://glints.com/id/opportunities/jobs/dokter-umum-onsite/56ab5228-a4a8-4c20-b1bb-c279c31d7990?utm_referrer=explore
