Company,Job_title,Location,Salary,Work Type,Skills,Descriptions,Links
ERUBI LIVING,Drafter,"Tarumajaya, Bekasi, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"SketchUp, AutoCAD, Arsitektur, Interior Design, Ms Office, Layout Design, Interior Architecture","Pria, Pendidikan S1 Interior/ Arsitektur, Dapat bekerja dalam tim, Menguasai Sketchup, Layout, dan AutoCAD, Menguasai MS Office",https://glints.com/id/opportunities/jobs/drafter/82973376-8211-4175-a720-cb77b70b6957?utm_referrer=explore
PT Onesia Nusantara Evolusi,SALES REPRESENTATIF (AREA JAWA BARAT),"Batununggal, Bandung, Jawa Barat, Indonesia",Rp4jt-Rp10jt,Penuh Waktu,"B2B Marketing, Memiliki Kemampuan Komunikasi Yang Baik, B2G business development, Business Development, Account Executive, Lobby & Negotiation skill, Presentation Skills",,https://glints.com/id/opportunities/jobs/sales-representatif-area-jawa-barat/6f11cdc6-8f6a-4183-8bb7-c7bd019f82be?utm_referrer=explore
NoLimit Indonesia,Marketing Executive,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/marketing-executive/1f1503c0-eea5-483b-91a7-dc1473c26715?utm_referrer=explore
Stayhoops,Host Live,"Bojongloa Kidul, Bandung, Jawa Barat, Indonesia","Rp2jt-Rp2,5jt",Penuh Waktu,,"Kualifikasi:, Bekerja secara paruh waktu, Memasarkan produk melalui livestreaming di TikTok secara rutin, Berpartisipasi sebagai talent dalam pembuatan content short video di TikTok atau platform sosial media lainnya bersama dengan tim kreatif, Membangun interaksi dengan audience dan bisa memasarkan produk, Update knowledge dan tren Tiktok, Wanita, Freshgraduate silahkan melamar, Berpenampilan Menarik, Memiliki kemampuan public speaking yang baik, Percaya diri depan kamera dan luwes, Passionate di bidang olahraga basketball & fashion, Mau belajar dan berkembang, Berpengalaman dibidang yang sama poin plus, Menyertakan Sosial media (Tiktok / Instagram)",https://glints.com/id/opportunities/jobs/host-live/3cbe9989-7595-464a-bf20-8951f41dc512?utm_referrer=explore
Rakamin Academy,Talent Hiring and Data Management Internship,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Rp1jt-Rp1jt,Magang,,"Final semester students or fresh graduates - adaptable and willing to learn, Understand basic Excel formulas, familiar with Zoom, Google Meet, and GPT chat, Have good communication skills and detail oriented, Having experience related to the recruitment process is a plus",https://glints.com/id/opportunities/jobs/talent-hiring-and-data-management-internship/b79c8f37-34ba-4984-bc16-f1b77fdbb0ac?utm_referrer=explore
FUJI ELEVATOR INDONESIA,STAFF GUDANG / ADMIN GUDANG / HELPER LOGISTIK,"Menteng, Jakarta Pusat, DKI Jakarta, Indonesia","Rp3,5jt-Rp4,5jt",Penuh Waktu,"Staff Gudang, Admin, Administrasi gudang, Petugas Gudang, Helper gudang, Administrasi, Office Administration, Administration",,https://glints.com/id/opportunities/jobs/staff-gudang-admin-gudang-helper-logistik/5d4da178-2aae-4f77-9cdc-95e55986c16d?utm_referrer=explore
PT Greenly Lifestyle Indonesia,Cook/Kitchen Staff,"Tenggilis Mejoyo, Surabaya, Jawa Timur, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Dapat bergabung segera, Min D3 S1 Kulinary/Tata Boga/Hotel, Kemampuan Cook & Kitchen yang Kompeten, Minimal Pengalaman 5 Th di Cafe/Resto/Hotel",https://glints.com/id/opportunities/jobs/cook-kitchen-staff/85c6c3b8-0b89-4d93-8b87-dc11f9105851?utm_referrer=explore
SAP Group,Admin Service,"Babakan Ciparay, Bandung, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Bertugas untuk menerima barang yang akan di service dari customer yang kemudian mereka jugalah yang akan menyerahkan barang yang telah di service tersebut, Membuat laporan penerimaan dan pengeluaran barang yang di service, Menghubungi customer untuk pengambilan atau meminta persetujuan barang yang akan di service, Mengerjakan kegiatan administrasi seperti mengecek stock, melakukan pemesanan, membuat invoice, filling data, dll., Mencetak kontrak kerja untuk perjanjian kerjasama sesuai dengan kesepakatan yang telah disepakati oleh Workshop Head, Memonitoring batas waktu pembayaran dan dokumen pendukung lainnya, Melakukan kegiatan administrasi masalah perpajakan, Membantu melengkapi data yang dibutuhkan untuk pengiriman barang, Memilah surat, paket kiriman dan pemesanan, Menjawab dan menerima telepon masuk, Membuat surat baik secara offline maupun online, Memesan persediaan alat tulis kantor, Menyapa dan memberikan tanggapan ke klien, Membuat agenda kantor, Mengelola buku harian",https://glints.com/id/opportunities/jobs/admin-service/96337df6-c93d-420e-a5bf-b04bab978b23?utm_referrer=explore
PT Medika Jasa Utama (Global Doctor),PERAWAT UK (UNITED KINGDOM),"Kramatjati, Jakarta Timur, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Tindakan keperawatan, Fluent In English And Bahasa Both Written And Spoken, Asuhan keperawatan",,https://glints.com/id/opportunities/jobs/perawat-uk-united-kingdom/e031d9f5-b756-4da1-a89e-1f3d2e41b5f0?utm_referrer=explore
Bimbel Youth Educational Centre,Content Creator,"Kemantren Wirobrajan, Yogyakarta, DI Yogyakarta, Indonesia",Rp300rb-Rp1jt,Magang,,"Terbuka untuk semua jurusan (minimal semester 5), Wanita/Pria, maks 27 th, Mempunyai pengalaman mengelola media sosial terutama Instagram dan Tiktok, Mempunyai kendaraan dan laptop pribadi (WFO), Bersedia mengikuti sistem dan jam kerja di Bimbel YEC",https://glints.com/id/opportunities/jobs/content-creator/ed7b7d51-226c-4afc-bbb3-d844f1a0fa1e?utm_referrer=explore
PT. KREASI PEMUDA BANGSA (AKSEL),Sales Arsitektural,"Pagedangan, Tangerang, Banten, Indonesia",Rp4jt-Rp7jt,Penuh Waktu,"Mengerti Arsitektur, Sales, memiliki pengetahuan bangunan",,https://glints.com/id/opportunities/jobs/sales-arsitektural/24c09b18-545c-452a-b710-ccd2fa86f6b4?utm_referrer=explore
